feature,avg_importance
 = ,51.08
 (,37.1
: ,33.58
 0;,30.46
/ ,30.18
 -,26.96
 // ,24.54
 &,23.5
(nums[,23.06
)),22.96
 {,22.92
 i,22.64
; ,22.44
r(,22.4
 =,22.32
0) ,21.78
re,21.44
eturn ,20.8
 } ,20.64
 a ,20.62
ul,20.38
i+,20.18
b ,20.02
", ",19.42
ls,19.32
at,18.98
 >= ,18.82
) ,18.1
 b,18.06
= ,17.86
 p,17.76
 i ,17.32
de,17.3
ub,17.18
ed,16.98
 (s,16.78
(a,16.68
ent,16.62
lse,16.48
(i,16.46
 2),16.08
r ,15.76
n ,15.68
 (i,15.54
fi,15.34
nt,14.68
1),14.46
in,13.58
 if,13.1
(s,13.0
 <,12.98
el,12.98
 - ,12.72
e ,12.66
 num ,12.56
 0,12.54
a ,12.52
as,12.3
ys,12.22
xy,12.06
];,12.02
ue,11.78
(b,11.78
 += ,11.72
f(,11.68
(int ,11.48
0;,11.46
 g,11.38
//,11.34
 1;,11.3
i ,11.26
-1,11.06
 i++) ,11.0
 int,10.92
c ,10.9
fa,10.88
ex,10.82
 re,10.8
th,10.76
t ,10.66
ew,10.54
 +,10.52
 x,10.5
 a,10.48
 5,10.44
 { ,10.4
 (i ,10.36
 if(,10.28
 (a ,10.18
ar,10.16
1;,10.14
 su,9.98
);,9.94
> ,9.92
 s,9.9
(a ,9.86
ru,9.84
 t,9.6
 +=,9.56
 f,9.42
if(,9.3
 e,9.22
gth();,9.08
));,8.98
)) ,8.98
pl,8.96
 r,8.94
 m,8.92
"a,",8.92
2),8.86
[i,8.7
en,8.66
 2,8.62
nd,8.5
 fo,8.48
+ ,8.48
if,8.46
 1,8.42
(nums,8.3
tr,8.3
se,8.2
 },8.04
 c,7.9
art,7.8
ms[i] ,7.78
 0 ,7.78
ength ,7.7
 &&,7.64
.s,7.54
al,7.52
 int ,7.42
f ,7.36
 n,7.32
mi,7.22
g ,7.22
(nu,7.2
!=,7.2
et,7.16
 4,7.16
 el,7.04
 if ,7.02
 is,7.0
 !,6.96
le,6.96
tru,6.94
t;,6.74
ng,6.68
s ,6.68
ea,6.68
0),6.68
su,6.64
la,6.62
g(,6.62
 sum ,6.58
int,6.56
ms,6.56
als,6.54
 > ,6.54
==,6.46
 fi,6.42
x ,6.42
();,6.4
 (nu,6.32
els,6.24
" a,",6.24
n;,6.22
ce,6.08
gth() ,6.06
ic,6.02
 < ,5.96
i],5.88
ult,5.88
++,5.82
5),5.72
0; ,5.64
m;,5.62
t.,5.62
i] ,5.6
(n,5.5
it,5.42
esult ,5.42
 (n,5.4
0 ,5.34
er,5.24
 ar,5.18
 + ,5.12
 (in,5.06
ge,5.0
rs,4.98
alse;,4.96
lt ,4.96
(in,4.82
ll,4.74
nt ,4.72
num ,4.72
(i ,4.72
ca,4.72
h;,4.72
.le,4.68
d ,4.68
.e,4.64
ra,4.6
 i+,4.58
rue,4.56
 >=,4.54
.l,4.52
(c,4.46
um ,4.44
swe,4.42
sum ,4.38
 in,4.3
 1),4.28
 ne,4.26
gb,4.24
um,4.24
mp ,4.22
di,4.18
] ,4.14
 the ,4.12
 la,4.04
 c) ,4.02
ing,3.96
 |,3.96
xo,3.96
 l,3.94
or,3.94
if ,3.94
(),3.9
lt,3.86
li,3.86
b) ,3.86
ti,3.82
ck,3.78
ma,3.78
bl,3.74
||,3.72
1],3.7
 %,3.7
ch,3.7
bs,3.68
 tr,3.66
ms[i ,3.6
gth; ,3.58
 >,3.54
em,3.5
int ,3.5
da,3.48
b),3.44
 10,3.42
va,3.42
 str.,3.38
esult.,3.36
ne,3.36
ta,3.34
 bo,3.34
 w,3.32
ig,3.32
eng,3.28
num,3.28
fo,3.24
s(,3.22
{ ,3.22
1 ,3.2
ir,3.18
ax,3.18
nte,3.18
 b ,3.16
ter,3.14
++; ,3.12
2) ,3.1
 nums[,3.1
 3,3.04
+),3.04
s;,3.02
 ==,3.02
len,3.0
3) ,2.98
 for,2.98
e;,2.98
al ,2.96
<=,2.94
te,2.94
ro,2.92
 (int,2.9
ri,2.82
() ,2.82
"s,",2.8
 stri,2.78
.su,2.76
 /,2.76
rue;,2.74
se ,2.74
pe,2.72
 len,2.72
he ,2.7
 1],2.7
ac,2.66
str,2.64
13,2.62
for,2.6
 (a,2.58
 0; ,2.58
 els,2.56
rn,2.54
m ,2.5
er ,2.5
 nums),2.46
 new,2.44
 (nums,2.44
10,2.44
str),2.44
wer,2.42
end,2.4
le ,2.4
 fa,2.4
he,2.36
n),2.34
st,2.34
il,2.34
sp,2.32
 % ,2.32
ou,2.3
 le,2.3
ts,2.3
1) ,2.28
ms[,2.28
qu,2.26
n) ,2.26
 n),2.26
r.s,2.26
ay,2.24
ath,2.24
"(""",2.22
t(,2.22
 <= ,2.22
 n) ,2.22
ic ,2.2
the ,2.18
s.,2.18
 (int ,2.16
[i] ,2.16
 ma,2.16
ur,2.14
nu,2.14
od,2.12
 ret,2.1
rr,2.1
 //,2.1
< ,2.06
dd,2.06
lse ,2.02
r.,2.02
""";",2.0
[n,2.0
an,1.98
2 ,1.98
 ',1.94
c),1.94
int[],1.94
 !=,1.92
 new ,1.92
ubl,1.92
ppe,1.9
alse; ,1.9
 n ,1.9
e(,1.9
nc,1.88
&&,1.88
t[,1.86
p ,1.86
 nu,1.84
ms.,1.82
h ,1.82
sum,1.82
an ,1.8
 nums,1.8
n(,1.8
min,1.8
} ,1.78
 b;,1.76
l ,1.76
ha,1.76
o ,1.72
 st,1.7
ength;,1.7
arra,1.68
++;,1.68
 != ,1.68
e),1.66
); ,1.66
 las,1.66
 2;,1.64
lea,1.64
ol,1.64
 2 ,1.64
 13,1.62
at(i),1.62
max,1.62
pu,1.62
i),1.6
wi,1.6
(int,1.6
tri,1.58
to,1.58
 i++,1.56
rt,1.56
 d,1.54
 7,1.52
is,1.52
" """,1.52
j ,1.5
nde,1.5
nd ,1.48
ee,1.46
[],1.46
h(,1.44
3),1.42
no,1.42
 == ,1.42
 b),1.4
 <=,1.38
ue;,1.36
int[,1.36
ke,1.32
co,1.32
sw,1.3
wo,1.3
ns,1.3
tar,1.28
ength(,1.26
 c),1.24
se;,1.24
 else ,1.24
ni,1.24
ft,1.24
een,1.22
esu,1.2
[i ,1.18
2;,1.18
(n ,1.16
 0),1.16
oun,1.14
ui,1.14
d),1.14
tu,1.14
wh,1.14
lo,1.14
(int[,1.12
(st,1.12
 pu,1.12
 cou,1.12
hi,1.12
 str,1.1
[i],1.1
 || ,1.1
 boo,1.06
ate,1.06
ast,1.06
es,1.04
we,1.04
bi,1.02
der,1.02
r),1.0
arr,1.0
(str.,0.98
xt,0.98
""")",0.96
res,0.96
t; ,0.96
 true;,0.96
1] ,0.94
(i),0.94
bo,0.94
sa,0.94
 str.s,0.92
 i++),0.9
 int[],0.9
 int[,0.88
mo,0.88
un,0.88
dex,0.88
ind,0.88
ing ,0.86
 max,0.86
" b,",0.86
 j,0.84
ara,0.84
 6,0.84
[] ,0.82
on,0.82
e(i,0.82
 arr,0.82
d) ,0.8
bu,0.78
ot,0.78
ay ,0.76
las,0.76
ap,0.74
r) ,0.74
ound,0.74
"z""",0.74
rn ,0.74
her,0.72
 an,0.72
 nums.,0.72
tw,0.7
ms),0.7
e) ,0.7
s[i,0.68
the,0.68
all,0.68
 str.l,0.68
rat,0.66
me,0.66
 te,0.66
(stri,0.66
ba,0.66
oo,0.64
s[,0.64
ms[i,0.64
 for ,0.64
 v,0.64
ad,0.64
ere,0.62
 fal,0.62
[i];,0.62
 num,0.62
d(,0.62
of,0.6
t(i,0.6
ed ,0.6
tin,0.6
s),0.58
- ,0.58
lu,0.58
rst,0.58
ld,0.58
 b) ,0.58
 2) ,0.58
.a,0.58
mp,0.58
last,0.58
big,0.58
fir,0.56
str.,0.56
 res,0.56
+=,0.56
ms[i],0.56
mal,0.54
r.le,0.54
>=,0.54
w ,0.54
etu,0.54
.leng,0.52
ve,0.52
odd,0.52
th(,0.5
nums,0.5
c) ,0.5
ith,0.5
ring,0.5
th ,0.5
r.l,0.5
+= ,0.5
sm,0.48
 (st,0.48
mat,0.48
ring ,0.48
 resu,0.46
int[] ,0.46
rin,0.46
ten,0.46
ai,0.46
 the,0.46
1; ,0.44
gt,0.44
s[i] ,0.44
n; ,0.44
 1] ,0.44
.c,0.42
rea,0.42
i];,0.4
cha,0.4
else ,0.4
 star,0.4
pp,0.4
day,0.38
nums[i,0.38
io,0.38
ring(,0.38
cl,0.38
 to,0.36
rue; ,0.36
s) ,0.36
e; ,0.36
 retur,0.36
ret,0.36
i++),0.36
ec,0.34
iz,0.34
array,0.34
"b,",0.34
bui,0.34
>= ,0.34
 (str.,0.34
.lengt,0.32
(str,0.32
r.su,0.32
 co,0.32
 str),0.32
m(,0.32
ue; ,0.3
um;,0.3
at(,0.3
clu,0.3
ums,0.3
 0) ,0.3
alse,0.3
 sta,0.28
sta,0.28
m; ,0.28
& ,0.28
ix,0.26
val,0.26
lse;,0.26
char,0.26
str.c,0.26
(); ,0.24
 en,0.24
en(,0.24
or ,0.24
i++,0.24
== ,0.22
subs,0.22
lse; ,0.22
y ,0.22
 j ,0.22
ms[i];,0.22
irs,0.2
ount,0.2
esul,0.2
 b; ,0.2
b.,0.2
fiz,0.18
gth(),0.18
ord,0.18
