feature,avg_importance
 = ,50.62
: ,39.96
 } ,31.78
 (,30.1
 i,27.56
; ,25.52
 0;,24.86
", ",24.82
in,23.4
) ,23.0
= ,22.5
ul,22.28
re,22.12
 // ,21.66
mat,21.3
 - ,21.0
 },20.34
 b,19.88
n ,19.82
 &,19.52
 -,19.48
eturn ,18.8
 if,18.76
ex,18.64
 =,18.08
 int ,17.8
(nums[,17.72
(b,17.48
(i,17.3
 {,17.1
el,16.5
ng,16.4
 1;,16.16
 n ,16.06
ub,15.8
int ,14.78
0),14.6
bs,14.42
 x,14.28
count ,14.16
/ ,13.96
nt ,13.46
 +,13.02
 1,12.96
 t,12.9
bl,12.84
 i ,12.82
+ ,12.8
(a ,12.8
 re,12.64
i+,12.5
[j,12.46
 +=,12.36
ls,12.32
 a ,12.3
ru,12.04
l ,11.88
 ==,11.7
];,11.36
e ,11.28
ea,10.98
 += ,10.94
(s,10.9
[] ,10.72
il,10.66
g(,10.62
x ,10.5
//,10.48
1),10.32
 a,10.26
 f,9.88
 2),9.84
)),9.82
(int ,9.78
 0,9.74
(a,9.74
++;,9.7
1;,9.66
ue,9.66
 n,9.52
b ,9.52
ys,9.48
ig,9.3
 >,9.18
0;,9.16
 { ,9.16
 < ,9.14
ed,9.12
if,9.12
et,9.1
 num ,9.06
al,9.04
um,8.96
 s,8.92
 the ,8.88
le,8.86
 e,8.84
it,8.78
s(,8.72
t ,8.66
an,8.58
 (i,8.5
 r,8.44
 ',8.38
at,8.28
 |,8.26
mp,8.26
gth() ,8.22
alse;,8.18
r ,8.12
(c,8.1
 p,8.08
 5,8.06
em,8.06
 nums[,8.06
gth();,7.92
[i,7.86
lse,7.82
su,7.72
un,7.68
mi,7.66
um ,7.64
 g,7.62
 ma,7.52
2),7.52
se,7.48
 <,7.38
);,7.32
en,7.32
++; ,7.3
ength;,7.24
fi,7.22
 10,7.12
int,7.1
t[,7.08
0; ,7.02
 w,6.98
++,6.86
 els,6.78
(n,6.68
als,6.62
ar,6.62
t.,6.6
.s,6.6
 c) ,6.54
2) ,6.54
ed ,6.46
 v,6.38
m ,6.38
h;,6.38
==,6.32
c ,6.28
 in,6.24
end,6.2
 i++) ,6.16
[n,6.16
ain,6.16
 == ,6.08
 el,6.08
> ,6.06
 2,5.96
len,5.96
 max,5.96
the,5.94
(str,5.86
t(,5.82
)) ,5.8
 l,5.8
se ,5.78
(in,5.78
+),5.76
10,5.7
>=,5.64
nt,5.58
de,5.54
ring ,5.52
 !,5.52
 (a ,5.48
 fi,5.46
d ,5.4
ld,5.36
 if ,5.36
ee,5.36
t;,5.36
ra,5.34
er ,5.3
ing,5.24
""")",5.18
 >= ,5.16
 int,5.14
si,5.14
tr,5.08
.a,5.06
xo,4.98
a ,4.98
st,4.96
ms[i] ,4.86
[i],4.8
 i++),4.8
(i ,4.76
] ,4.74
e),4.74
els,4.72
te,4.68
0 ,4.66
 sum ,4.62
nd,4.6
tru,4.6
 boo,4.6
la,4.58
'),4.56
alse; ,4.54
 c,4.52
b;,4.52
ms.,4.5
 > ,4.44
 (a,4.38
 nums,4.3
 if(,4.26
e;,4.24
ength ,4.24
2;,4.22
 tr,4.2
 (s,4.2
rr,4.18
e(,4.12
i ,4.1
ms[,3.98
ho,3.98
 + ,3.96
 (nums,3.96
ic,3.94
if(,3.94
unt,3.94
s.,3.92
||,3.88
&&,3.88
h(,3.86
!=,3.86
(str.,3.84
ay,3.84
th,3.84
();,3.8
f(,3.8
at(i),3.8
tri,3.76
i],3.72
bi,3.72
 nums),3.7
li,3.68
ke,3.64
ft,3.64
g ,3.62
res,3.62
0) ,3.62
rn,3.6
 ar,3.58
 3,3.56
"a,",3.56
 su,3.52
(nums,3.52
iz,3.5
{ ,3.48
1; ,3.46
 (in,3.44
 n; ,3.38
ind,3.38
ca,3.38
b),3.36
(),3.36
hi,3.36
ma,3.32
 is,3.32
br,3.3
 new ,3.28
c),3.28
or,3.28
1],3.24
fa,3.22
tring ,3.22
" a,",3.2
as,3.16
bu,3.16
ch,3.14
 for ,3.14
));,3.12
fiz,3.04
h ,3.04
-1,3.04
 b ,3.04
+) ,3.04
 c),3.0
 m,3.0
ve,3.0
(); ,2.98
 i+,2.98
inde,2.96
 str.l,2.94
(nu,2.92
(is,2.92
pe,2.88
 %,2.88
 6,2.88
.l,2.88
ms,2.84
for,2.84
[i] ,2.82
ount ,2.82
 &&,2.8
ni,2.8
va,2.78
f ,2.76
e(i,2.76
rs ,2.76
er,2.76
xy,2.74
ou,2.72
he,2.7
!= ,2.68
" """,2.68
wi,2.68
s ,2.66
on,2.66
ring,2.64
.su,2.62
 st,2.62
3),2.62
ri,2.6
 >=,2.58
 (int,2.56
stri,2.56
ast,2.54
1 ,2.54
een,2.54
 n;,2.52
ts,2.52
l),2.52
gth; ,2.5
ne,2.46
str,2.44
 7,2.42
() ,2.4
[],2.4
 0 ,2.4
 j ,2.38
num ,2.36
 j,2.34
co,2.34
sma,2.34
 0; ,2.34
} ,2.32
ala,2.32
ll,2.3
 <= ,2.3
int[,2.3
t(i,2.28
rn ,2.26
ns,2.26
qu,2.24
sa,2.24
ol,2.24
arr,2.22
1] ,2.2
b.,2.2
ro,2.2
 nu,2.18
arra,2.16
r),2.14
 ret,2.14
 2 ,2.12
 bo,2.1
 13,2.1
r.s,2.08
dd,2.06
< ,2.06
 (n,2.06
<=,2.04
ix,2.04
eng,2.04
r.le,2.04
 //,2.0
pr,2.0
rt,2.0
ck,1.98
 (i ,1.96
3) ,1.96
nu,1.96
lt,1.96
n) ,1.96
 te,1.94
d),1.94
rue,1.9
ati,1.88
emp,1.86
e; ,1.86
 le,1.86
""";",1.84
sum ,1.84
num,1.84
es,1.82
rue;,1.82
ur,1.8
ms[i],1.8
n;,1.8
ui,1.8
(st,1.8
 str,1.78
sp,1.78
pu,1.78
s;,1.78
 res,1.78
 int[],1.74
b) ,1.72
esult ,1.72
di,1.72
i] ,1.72
 stri,1.7
 i++,1.7
int[],1.7
[i ,1.66
ay ,1.64
+=,1.64
]; ,1.64
sum,1.64
 str.s,1.62
ai,1.62
 fa,1.62
ha,1.6
 str.,1.6
 (nu,1.58
her,1.56
ms[i,1.56
1) ,1.56
ax,1.56
(int,1.54
fo,1.54
 || ,1.54
al ,1.54
nte,1.52
 0),1.5
ength(,1.5
ing ,1.48
the ,1.48
 2) ,1.48
las,1.46
ap,1.44
r.leng,1.44
ent,1.44
od,1.44
n),1.44
ut,1.42
 nums.,1.42
 /,1.42
 for(,1.4
 (str.,1.4
rs,1.38
c) ,1.38
ce,1.36
 len,1.36
ir,1.34
(str.c,1.34
last,1.34
 en,1.32
i),1.32
esu,1.32
r.,1.32
(i),1.3
 b),1.3
2 ,1.3
ep,1.3
 (st,1.28
s[i] ,1.28
 else ,1.28
ms[i];,1.26
p ,1.26
ge,1.26
 for,1.24
s),1.24
i++,1.2
id,1.2
y ,1.2
rea,1.2
ti,1.18
cou,1.18
 0) ,1.16
ere,1.16
 va,1.14
oo,1.12
 true;,1.12
tu,1.12
um;,1.12
r.l,1.12
 (str,1.12
ion,1.12
 1),1.1
 fo,1.1
da,1.1
 ne,1.1
m;,1.1
ci,1.1
 int[,1.08
ring(,1.08
rin,1.08
me,1.08
[i];,1.08
r(,1.06
 mi,1.06
ult,1.06
+= ,1.06
ubl,1.04
ste,1.02
s[,1.02
lo,1.02
lu,1.02
w ,1.02
lse ,1.02
ng ,1.0
dex,1.0
rou,1.0
 co,0.98
13,0.98
s) ,0.98
cl,0.98
if ,0.98
oun,0.98
of,0.96
ms),0.96
" b,",0.96
ta,0.96
"(""",0.96
== ,0.92
etu,0.9
nd ,0.9
 pu,0.9
 retur,0.9
 cou,0.88
 ch,0.88
r) ,0.88
.le,0.88
 <=,0.86
& ,0.84
 la,0.84
s[i,0.84
bo,0.82
); ,0.82
all,0.82
 n) ,0.82
(int[,0.82
tem,0.8
to,0.8
 !=,0.8
i];,0.8
end(,0.8
 2;,0.8
pa,0.8
0],0.78
m(,0.78
ew,0.78
he ,0.76
.sub,0.76
 1],0.74
an ,0.74
 num,0.72
tw,0.72
temp,0.7
arat(i,0.7
ac,0.7
j ,0.7
- ,0.7
6),0.7
sm,0.68
 arr,0.68
t(i),0.66
 for(i,0.66
sw,0.66
else ,0.66
2; ,0.66
nde,0.66
n(,0.66
mo,0.66
o ,0.64
ic ,0.64
 str.c,0.64
fix,0.62
ue;,0.62
ret,0.6
st ,0.6
n; ,0.6
we,0.6
zz,0.6
(stri,0.58
 d,0.58
ount,0.58
ara,0.56
 n),0.56
ew ,0.56
ec,0.56
tl,0.56
day,0.56
 the,0.54
int[] ,0.52
th; ,0.52
m(i,0.5
out,0.5
fir,0.48
is,0.48
ms.l,0.48
for ,0.48
ef,0.46
gt,0.46
 1; ,0.46
| ,0.46
th ,0.46
io,0.46
 b) ,0.44
 && ,0.44
bli,0.44
cig,0.44
art,0.44
str),0.42
sub,0.42
 str),0.4
lse;,0.4
h; ,0.4
ars,0.4
 % ,0.38
tic,0.38
or ,0.38
sum(,0.38
cha,0.36
i++),0.36
ter,0.36
se;,0.36
max,0.36
strin,0.36
d(,0.34
 o,0.34
 sta,0.34
lt ,0.34
xt,0.34
s[i]; ,0.32
no,0.32
 da,0.32
gth(),0.3
s.l,0.3
big,0.3
mp ,0.3
 new,0.3
val,0.3
trin,0.3
 != ,0.28
alse,0.28
 fal,0.28
bre,0.28
"b,",0.28
 resu,0.28
for(in,0.28
th;,0.26
ate,0.26
word,0.26
ot,0.26
r.su,0.26
s[i],0.26
 tem,0.26
 (int ,0.24
str.,0.24
rat,0.24
at(,0.24
eed,0.24
(num,0.22
esul,0.22
"b, ",0.22
.c,0.22
++) ,0.22
index,0.22
i++) ,0.22
th(,0.2
 an,0.2
ms) ,0.2
nd(,0.2
 str) ,0.2
ith,0.18
str.s,0.18
h(); ,0.18
 tru,0.18
s[i];,0.18
ound,0.18
.lengt,0.18
lea,0.18
ad,0.16
rue; ,0.16
new,0.16
.subs,0.16
ord,0.16
m; ,0.14
bst,0.14
.leng,0.14
en(,0.14
pp,0.14
nums,0.14
<= ,0.14
engt,0.14
ean ,0.14
gar,0.14
 end,0.14
[0,0.12
wit,0.12
ean,0.12
char,0.12
ue; ,0.12
++),0.12
rd,0.12
go,0.12
 star,0.12
t; ,0.12
bstri,0.12
boo,0.12
[0],0.1
arat,0.1
app,0.1
str.le,0.1
a.,0.1
 true,0.1
star,0.1
se; ,0.1
sta,0.1
nums[i,0.1
nt[,0.1
