feature,avg_importance
(b,0.7056316989033387
 = ,0.5691566222820321
nc,0.5677237531169592
));,0.5613505900947935
)); ,0.5589588049677884
tp,0.5552466713588216
us,0.542660164140905
ld,0.5411371157868056
ll ,0.5368610634079747
sy,0.4980146639203319
); ,0.49036836903982717
no,0.47695601082117944
);,0.4535011813606914
: ,0.44488000019280655
();,0.4321764868781633
 =,0.43108608755421246
 sta,0.4292226411994856
// ,0.42780435367058933
 // ,0.42438327236013734
hi,0.407355747288355
m.,0.40333378522260177
pr,0.4015092459203796
ys,0.39868361083522647
ne,0.39606749563438426
(); ,0.39449547988594724
ex,0.3919405862179747
 it,0.38748281996397016
 (i,0.3872426061502656
ge,0.37857798024379297
1),0.3730219349590231
 5,0.3540398601782266
 w,0.35341745984954076
 2 ,0.35079316705684693
 le,0.3444145772690863
) ,0.3422975982788188
.a,0.3379920758389238
sa,0.33464697995171666
k ,0.32911134099638445
1],0.32331531843678
pri,0.3188571148656034
 to,0.31726902791419875
(nums[,0.31482857485048327
 (,0.3137105117875868
start,0.3105111378068165
 no,0.30933538516039927
tart,0.30917851314844075
ip,0.30869998128182974
be,0.3082008493404015
(c,0.306532782989076
star,0.3034525724909667
re ,0.30099055750864967
(i ,0.2974168260409311
pp,0.2955383774051906
il,0.29451428286874176
 ma,0.29416586527908795
(nu,0.2940563732326761
(num,0.293450687384334
new ,0.2929051664678976
t(,0.2914363813045887
ew ,0.29080950600802896
p ,0.2865336333830292
gth() ,0.2853134598804885
th() ,0.28400116231900974
s(,0.2837435718064323
h() ,0.28310769306021955
not,0.27987050976658856
ec,0.2789923990706925
if,0.2788821352345693
 i++) ,0.2770211815324026
rac,0.2762203728469156
 g,0.27482467991079806
ter,0.27421476927573446
 m,0.2734576720029087
"(""",0.26930405918683636
ke,0.2684022609689842
ut,0.26818860395077804
 2),0.26772814610564555
ent,0.26488016544371407
als,0.264141471597112
 i++,0.26303579776841457
ca,0.26019163579708243
 /,0.25826414629749905
tar,0.257792284345263
 te,0.25306042899295333
sh,0.2523215403600807
 new ,0.24873607318787394
een,0.2479881041364913
 &,0.24789289087003713
 if(,0.24661969671419512
 1; ,0.2464260682939522
w ,0.24584662448562436
ce,0.2453798519204711
 -,0.2453416096773558
 ca,0.24318160400894187
ed,0.24300513629112142
at(,0.2428300805715203
r),0.24281191137767194
 a ,0.24187648172115192
t; ,0.23989544510396602
 l,0.23843684844154273
t.,0.23762045661667386
)) ,0.23683563129729296
)),0.23669235376918807
1; ,0.2359357756771457
ta,0.2357739626272532
iz,0.2345723982901352
o ,0.23368293978223587
""";",0.23271702012487558
if(,0.23261970099377327
sta,0.23232066949636893
pa,0.229579722152863
/ ,0.2289339884860409
ren,0.22512945880967353
ho,0.22321322533939664
tw,0.2228672973646115
i++,0.22229044494626016
++) ,0.2219857096546074
() ,0.22116058778403125
+) ,0.2202707961277286
cte,0.21846522098713733
f(,0.21789413420690942
= ,0.21776269704874218
 str.l,0.21743540406029604
xy,0.2160905909964992
 10,0.21597344002996677
 3,0.21546492323615743
 e,0.21483127277759495
 2,0.21426944369258175
lar,0.21408167619354498
 if,0.2139481255919991
"""; ",0.21350681542401534
""" ",0.21241597472657706
lat,0.21148288228157258
bs,0.21138908382743535
da,0.21009008569527954
f ,0.2100272191968576
new,0.20919637435020172
ti,0.20900882899208756
ew,0.20870823191984933
es ,0.20576388304510235
the ,0.2051250463004647
rs ,0.20332997101882777
ay ,0.20173762833179346
he ,0.2009139451590088
 the ,0.20074291809930134
r) ,0.20033043648201537
t:,0.19809995098692304
 r,0.19783247572566748
art,0.19782579478189444
2),0.19726583032948794
ed ,0.19719652021552644
ro,0.19552706347569282
t: ,0.19537066687749843
&&,0.19488116008263212
++,0.19392324379143855
 0),0.19388812541853517
- ,0.19295093004093575
ract,0.19291573698977443
ig,0.19254901800890303
bu,0.1921267846762895
ith,0.1907445889315173
||,0.1905920033362265
 new,0.19040911580624287
//,0.1903392039709434
 } ,0.19012955953823252
y ,0.1893655519787164
 (a ,0.18827833387554116
r(,0.18800267890964337
ap,0.187740466582437
ate,0.1859733197678553
 j,0.18594628577929817
rou,0.18577960315567513
 b ,0.18532131084208697
0; ,0.18403433842090414
um ,0.1839095351079778
