feature,avg_importance
 = ,0.01602236335537431
if(,0.014670744924030843
 if(,0.012897883596765391
f(,0.011033692068958352
; ,0.010773765523111423
 // ,0.010239498460287783
// ,0.009948439734615176
/ ,0.009798674992813611
ul,0.00715631671856401
: ,0.006851892110004995
 /,0.006322852552377475
 0;,0.005996659982476778
 0; ,0.005824968247435642
 //,0.005561169654218129
//,0.00529070919715187
i+,0.005260834219258812
lt,0.004860299433459783
 if,0.004496642678746903
ult,0.004479669213230886
 =,0.004470064896310752
if,0.003944404984269744
 } ,0.0039013647975919626
 { ,0.0037475094632134216
 0,0.0036746741328420795
0;,0.0036712053154248324
 i,0.0036017165962200603
n ,0.003601337241565299
re,0.003539765182009324
 {,0.0035319656404173435
 },0.003460895802450712
} ,0.0034110114964143305
 (,0.0034041973886815118
r(,0.003361084265728556
int,0.00332402383995003
true,0.003313934499879383
tru,0.0032875595223069804
rue,0.003281148378538408
{ ,0.0032398422537575594
0; ,0.003229052235353027
true; ,0.0032188882147094755
true;,0.003164472826367549
ru,0.0029699282044749957
 if ,0.0029581468190098066
result,0.0029524273744262076
rue; ,0.0029379524151171114
f ,0.00290676924314503
sult ,0.0029026813691386353
he ,0.0028941490331407306
rue;,0.0028895630830232427
resu,0.0028879716634393872
if ,0.0028645283902811874
(int ,0.0028514689819479026
 re,0.002830238082130362
the ,0.002818791350538236
 the ,0.00281583062101709
= ,0.002806228008551358
 the,0.0027880718891343985
esul,0.0027658188744044986
esult,0.002762791586496076
in,0.002721844108913475
) ,0.002713372965835511
 true,0.0026942513929384205
 tr,0.002689854665411735
resul,0.002685925231171223
 tru,0.0026341129290288106
(i,0.0026243834132871745
 resu,0.002620872126948498
 int,0.0026046603464439633
esult ,0.0025840156748584107
 true;,0.0025797079333170973
nt,0.0025794944989888297
tr,0.002544414053483
eturn ,0.002539422497958569
 r,0.0025216067309998067
res,0.002519187954868794
urn ,0.0024948669846136602
sult,0.0024908441967011028
sul,0.002470221111602845
ub,0.0024572209427098208
ng,0.0024498791248620134
ult ,0.00244986959036699
len,0.002427148095082749
r ,0.0024249269263052027
lt ,0.0023600109706444707
 (i,0.002351138802615602
lse,0.002350169108128575
turn ,0.0023288006118416275
+ ,0.0023189603441204627
rn ,0.002298419296584663
 retur,0.0022822332635870197
 +,0.002280185462889966
 resul,0.0022748845829303364
++,0.002265263361408671
++),0.0022612380775053277
 p,0.002258230870555108
 (int,0.0022395955104456762
 + ,0.002220741020508654
h();,0.002205830715035012
t ,0.0022023965523660454
 (int ,0.002184848815797962
ew,0.0021463834308728586
 ret,0.0021446423454439287
nt ,0.0021178692954585006
new,0.0021072455221222432
en,0.0021038725402294676
ur,0.0021037578858365494
 (in,0.0020910875127776152
et,0.002078635425871819
th();,0.002076894594438229
 in,0.002076175106870243
els,0.002068826384190822
c ,0.002065520939420648
ue,0.0020606798753794535
 retu,0.0020457659207927643
 int ,0.002040005665514619
 b,0.0020332507983658885
 2,0.0020326783769819817
 -,0.0020323844528790584
0) ,0.0020267154165084958
int ,0.002005757897494812
 new,0.0019724548863119316
(in,0.001966152028017315
ls,0.001958914683884656
etur,0.0019582127019691755
 res,0.0019566790212847325
+),0.0019557762965748686
gth();,0.0019472658734785314
 els,0.001940108171521322
ret,0.0019309729167280932
urn,0.0019302404894941513
 else,0.001907661525169639
su,0.0018851760558296728
eturn,0.001874467852744452
 el,0.0018744139434491568
retu,0.0018632162600597483
ubl,0.0018626571375559785
return,0.0018608922284618205
retur,0.001849233953408235
", ",0.0018447015323616537
the,0.0018380639675463595
e ,0.0018343011638133197
else,0.0018331551640339244
etu,0.0018255445826935316
li,0.0018192782040855418
tur,0.0018091509138180959
 else ,0.0018017799383385513
(int,0.0018013330778608656
turn,0.0017924255325788138
else ,0.0017874182762793853
rn,0.0017802978791886298
esu,0.0017795438145076334
lic,0.0017752194293234583
 pu,0.0017716840532208337
or ,0.0017645731766135445
publ,0.0017476282615888005
- ,0.0017126879648265438
h(); ,0.001710474252920547
ic ,0.0017048327064786081
el,0.0017035329095967796
tu,0.0017001661072798663
th(); ,0.0016994263216577625
bli,0.001698829869527096
public,0.0016934020402671888
ic,0.0016823759190422016
 (nu,0.0016679716914445616
se,0.0016668966777451826
 - ,0.0016608307161323397
 e,0.0016559609984607162
blic,0.001655845886392318
blic ,0.0016422083467916928
ublic,0.0016295606558427893
se ,0.0016256208060609365
ubli,0.001623062297448263
ublic ,0.0016110891870720475
 th,0.001591000509282207
 publ,0.0015908879698574444
pub,0.0015887711517172276
pu,0.0015811209746304797
]; ,0.0015807562343387038
lse ,0.0015800392063193597
 (num,0.0015742134121819115
lic ,0.001572586246699114
publi,0.0015709919477099698
le,0.0015616193300731736
];,0.0015586560908377226
 (n,0.0015581880347548746
a ,0.001550427889429417
+) ,0.0015279398461893936
& ,0.0015236156187250938
 for ,0.0015199922868280155
 pub,0.0015092612838402226
 boo,0.0014915316844492904
al,0.0014835153634932163
lean ,0.0014807242308501084
)) ,0.0014767817416914894
bl,0.0014750592627238723
for ,0.0014676682589024037
 f,0.0014653740301830294
 t,0.0014646411781218088
 >= ,0.0014644566038870327
 publi,0.0014639050177096494
e;,0.0014612486823156114
e; ,0.0014579946919349837
oolean,0.0014553106884252088
he,0.0014531703958209244
oolea,0.00144925430723553
es,0.001436388223503885
&& ,0.0014303922868892296
>= ,0.0014261768351646095
 bool,0.0014245535362588482
 &&,0.0014236514992446892
lean,0.0014221986726258393
lea,0.0014172296890154106
ngth;,0.0014164179926166346
boole,0.0014122229008375967
ole,0.0014085791028086516
 <,0.0014081096448115224
 2),0.0014079092548607822
olea,0.0014036847997257738
olean,0.0014022281339632666
++) ,0.0013956652795648397
 ne,0.001395394804396692
 i ,0.001389455883112227
um ,0.0013853713075792809
i ,0.001382850104134094
 && ,0.0013800029800479995
ue; ,0.001377728605736969
 &,0.001376246222571111
bo,0.001370020620263518
h;,0.0013691275195705285
ue;,0.0013684017093438259
 boole,0.001365771138434973
 == ,0.0013631174145902127
ength;,0.001362625554087587
ool,0.0013598738026392347
(nums[,0.0013590513579062522
leng,0.0013586815183225097
eng,0.001355581803354989
olean ,0.001354617850617921
th;,0.0013499655125745024
boo,0.0013349417950701656
boolea,0.001325564382493679
m ,0.0013188365080379172
 strin,0.0013184886366034649
oole,0.0013167104473813963
for,0.001312488182204359
bool,0.0013112774840310004
 for,0.0013091293546058824
ean,0.0013051817813271322
gth;,0.0012972713615838813
 1,0.0012913875384693776
&&,0.0012886028190020236
ea,0.0012862863076567588
 n,0.0012830741861461503
th,0.0012813689027846578
gth,0.0012796987956042053
string,0.0012703819288747082
 bo,0.0012606041424630399
an ,0.0012580901122778855
engt,0.0012578653561294353
 a ,0.0012560580749970344
g ,0.0012560345843768315
 a,0.0012557869048974585
length,0.0012552322173905314
ean ,0.00125127513287296
ngt,0.0012510714868783721
); ,0.001243713571667254
 stri,0.0012425256507260444
lengt,0.0012399583120138082
oo,0.0012377835643061481
(b,0.0012346603235253114
strin,0.0012321611815710386
ngth,0.0012294632986437088
gt,0.001219202625208348
 num ,0.0012122777687188263
< ,0.0012107511135030732
tri,0.0012042240149969252
ength,0.0012010108327766963
um,0.001194992971122085
 ==,0.001193431388356039
(num,0.0011923322407548708
ol,0.001190666311409658
== ,0.0011902510971040184
(nu,0.0011777373366672421
als,0.0011565324491361404
 < ,0.00115532829832813
t[,0.0011469562710251702
fa,0.0011467183984395638
 s,0.0011459651235612386
 >=,0.0011372702190295828
stri,0.001131144698076516
 fo,0.0011257922897323935
);,0.0011256942181453392
2),0.0011237543046003244
at,0.001121613009390705
 += ,0.0011189360602305042
i++,0.0011141624325460193
fo,0.0011116352226343618
trin,0.0011108014310045786
 i+,0.0011063561983053495
lse; ,0.0011024043174793702
ums),0.0010923697770599398
 (nums,0.0010839240638240307
1;,0.0010815556448060034
ms),0.0010799845779586204
or,0.0010799707973649082
de,0.001077917451803132
num ,0.0010752059016998204
(nums,0.001074688341870107
[] ,0.0010678662473088763
tring,0.0010676688845908469
(i ,0.0010646681410212155
an,0.0010633565171912001
ri,0.0010548467950446507
s),0.0010530142332479174
nums),0.0010525095477154453
ring,0.00104672000791974
th; ,0.0010439440838323375
();,0.0010363833075252337
 m,0.001034675560404691
[],0.0010314480214963003
h; ,0.0010299046347795459
==,0.0010270627948379312
int[,0.0010268438871954934
alse,0.001024559043272854
as,0.0010205324074511676
 i++,0.0010197355769243348
i],0.0010159731556432883
 i++) ,0.0010150964837737342
 num,0.0010099790472048074
1; ,0.001009345580127407
nt[,0.001006343338794063
alse; ,0.001002236273366073
nd,0.0010002142918719207
1),0.0009974011128666893
alse;,0.000981873805629855
ing,0.000981170609752006
 +=,0.0009811627156332855
la,0.0009800939737811343
ng ,0.0009799259592068734
fal,0.0009780967802468065
] ,0.0009743199554262634
+= ,0.0009722810262273645
 nu,0.0009713279078782989
fals,0.000961273024019629
ms) ,0.0009529600403007872
lse;,0.0009510726185398452
false;,0.0009450751113349187
(a,0.0009446335637281825
gth; ,0.0009420307423101997
 fa,0.0009405828614474322
+=,0.0009307862287179839
)),0.0009276750281498624
 i++),0.0009230532648451279
