feature,avg_importance
// ,0.02896057927887906
/ ,0.027647455668139854
 // ,0.02622027574227399
 //,0.02268967488925227
 /,0.02050796166314536
//,0.018330897733528684
 the ,0.017416024009188028
he ,0.01735395664834349
the ,0.017142098775875757
 the,0.016912151304649844
 th,0.013943567691649965
he,0.012198066365165358
the,0.012075494613644584
 o,0.008995321370790746
s ,0.008557661543949352
 = ,0.008255666166536873
o ,0.007325919567294826
; ,0.007013206317292599
if(,0.006750772970316271
 if(,0.006522252641233578
f(,0.0063358410757453874
 check,0.005818676539051917
ck ,0.005808765347384413
: ,0.005615244069286537
 chec,0.0050893642129015496
 che,0.004921892995902136
ul,0.004921678747384381
eck,0.004714922034665547
heck ,0.0046725548716630375
che,0.004543183350615649
hec,0.004292711670873677
to ,0.004157862796477288
is ,0.004153457607371558
check ,0.004067454087487766
d ,0.0040283167613308956
 to,0.003983169169651479
chec,0.003958148640831011
 to ,0.00388034909828671
 ch,0.0037759823545822973
heck,0.003680803311939903
 =,0.0036310792538106645
e ,0.003598474302331561
eck ,0.0035732627633567964
check,0.0034971621185728237
of ,0.0034226264027280347
 t,0.0032171117402391737
to,0.003206722786329642
 of ,0.003096778660700296
 (,0.003029374657312303
re,0.0030242696814170513
 is ,0.0029139803883273096
 {,0.0028458875228988697
 { ,0.0028271506729224062
 of,0.00275122049477335
 } ,0.002697537534841017
ult,0.0026866298307543627
 },0.0026833802486472182
lt,0.002674285531775562
um ,0.0026260587576345746
k ,0.0025973866981349996
0; ,0.0025858991032053067
if ,0.002544951894050859
) ,0.0025344845618008142
f ,0.002482432338660118
} ,0.002457369848695189
{ ,0.0024321967587659504
0;,0.002395230468917979
 if ,0.002368089990173276
 r,0.002355050164322093
 re,0.0023256424522492157
m ,0.0022861925526646756
if,0.0022666508791954194
su,0.002251880555628702
it,0.0022321658627548688
 ar,0.0021973806962861274
th,0.0021305625525599443
", ",0.002101984881605425
lse,0.0020525248909380347
er ,0.0020218019086275466
y ,0.0020034198332397656
= ,0.001986135910881792
ck,0.0019785104736689944
er,0.0019666621686824366
ec,0.0019367917971480117
els,0.0018960852310651527
es,0.0018882929685389157
ls,0.0018838250416002922
 if,0.0018773855261478886
turn ,0.0018297432304776083
 0,0.0018270659649221189
 a,0.0018093819393633804
ur,0.001804737699788201
 +,0.0018023356906826946
int,0.0018000394171669976
 i,0.0017881100150779863
mi,0.0017872904908767546
nt,0.001774775890595571
 it,0.0017632694344157593
result,0.001747878177719471
in,0.0017450221898472787
esul,0.0017403814899157155
else,0.0017272180925099734
resu,0.0017155987408806921
resul,0.001704256946618617
(i,0.0016903415537827318
0),0.0016882516253864932
ic,0.001684190473899377
ub,0.001684072153179205
esult,0.0016772080945038944
sult,0.0016739701692437825
sul,0.0016626810036007933
 retu,0.0016536885773086607
 els,0.0016512623032831103
 resu,0.0016485995976852832
eturn ,0.0016484108963822895
urn ,0.0016383674400882611
 resul,0.00163463231186071
num ,0.00163051426529116
 c,0.001629847926016184
 retur,0.001599819317556102
rn ,0.0015756932177833488
 ret,0.001558601160099956
c ,0.0015574812386535757
n ,0.0015532933637115948
 + ,0.001552481569119382
 (i,0.0015473123976775852
 else,0.0015469888783031036
lse ,0.0015298465701136569
 n,0.0015134603832852572
se,0.0015090255726834833
rue,0.0015048056485411452
 el,0.0015040893547801457
res,0.0015021113656798497
 1,0.001497823001165903
true,0.0014873928617466024
+ ,0.0014863255364718842
sult ,0.0014812418093446817
ult ,0.0014802469847985539
return,0.0014747582397326444
else ,0.0014738579181512402
 e,0.001462074504208537
turn,0.0014613942288715185
tur,0.0014587676515528468
eturn,0.0014529558945266885
etur,0.0014486400042315725
t.,0.0014417538994089096
urn,0.001438699397882916
etu,0.001436671722362037
ru,0.001435119185050584
nd,0.001425910386781254
 0;,0.0014202068162070336
t ,0.0014191547903552417
tr,0.0014098430890886005
rn,0.001400639947580989
et,0.0013991044338137134
 0; ,0.0013972183305839645
esult ,0.0013962164269489096
(in,0.0013900296913013119
retur,0.0013846987971089116
 else ,0.0013786878357281587
ret,0.0013774513225626715
li,0.0013712374435923044
tru,0.001354964014532912
se ,0.0013528918938394564
blic,0.0013470522774026922
 p,0.001345349916054226
r ,0.0013402688444465818
(int,0.0013383203708258761
tu,0.0013347074813210332
 res,0.001333781578957027
bli,0.0013321937154690633
retu,0.001331820498942405
nt ,0.0013249796589878085
lic ,0.001321408640643369
publi,0.001314680099632513
de,0.0013136297090132038
ic ,0.001308788146980069
lt ,0.0013071868877616891
nd ,0.0013054422709869531
publ,0.0012983130953465897
(int ,0.0012964612135150072
ublic,0.0012945054467814008
ng,0.0012940904295948132
em,0.0012939328429620897
esu,0.0012925707255137355
ublic ,0.0012924033484115677
 int,0.001288215510258404
pp,0.0012856272646950564
blic ,0.0012843789916062727
public,0.001282561057299794
ti,0.0012814981478610024
 pub,0.0012806501956214805
 publi,0.0012805736994937777
true;,0.0012777201143723122
 int ,0.0012662170764997538
int ,0.0012653574687072136
ubl,0.0012626005082811407
 tr,0.0012582313855270045
ubli,0.0012521934049071642
pub,0.0012362334545049144
 pu,0.0012339497678289853
 publ,0.001231803567070902
ue,0.0012283577028595395
ent,0.0012176182279991662
bl,0.0012164615043451677
ent ,0.0011994023799439919
lic,0.0011979065570104134
pu,0.0011949033760359003
 tru,0.001184492395926056
rue;,0.0011817072617298283
rue; ,0.0011800850949338268
true; ,0.0011751815199129685
ch,0.0011547461982935507
 true;,0.0011397622499264629
re ,0.0011302298596725126
 2,0.0011214130259038391
== ,0.001119784253533966
 f,0.0011144244907078187
ppe,0.0011116299659028642
te ,0.0011073167804011423
);,0.0011062325378548982
el,0.0011017183411294552
 b,0.0010990748563048124
 in,0.00109845423974467
 true,0.0010551076730443418
 == ,0.0010542612232907424
um,0.0010535566594289862
i+,0.001050434725123451
len,0.0010396127016212937
"a, ",0.0010297003135015257
at,0.0010241281577637945
(i ,0.0010224289914792782
); ,0.0010199650159618907
 ==,0.0010139940462539612
"a,",0.0009868346295574919
ue;,0.0009798989159719934
um; ,0.000972295811621052
ar,0.0009689361118913485
um;,0.0009645867249863079
ter,0.0009622929808704646
en,0.0009405622775148707
 boole,0.0009388078535575517
 s,0.0009338577139245601
i ,0.0009282826481677338
 += ,0.0009232201453627432
no,0.0009205998032515525
0) ,0.0009163259434897542
 +=,0.0009144506705497983
ue; ,0.0009000177111925217
and ,0.0008984287198950041
