feature,avg_importance
/ ,0.029330458066184048
 // ,0.027827464899091856
// ,0.02527330000489795
 //,0.02422773445026912
 /,0.023069021988458335
 the,0.020089692618241065
//,0.019411532028982655
he ,0.018668348515636694
 the ,0.01777864126494723
the ,0.016484238324189264
 th,0.015035255986421102
he,0.012767096350040537
the,0.011426242098408045
s ,0.009751036171139994
 o,0.007736040171056586
o ,0.007391486843394438
ck ,0.007168735300483671
: ,0.0069888294604896805
; ,0.006921142574148332
che,0.006756256430977136
 chec,0.006321170195750843
hec,0.006094748973268093
 check,0.006087196408532717
is ,0.005980508420949877
d ,0.005855175980615756
 che,0.0058508730161527045
 ar,0.0057768440795085965
heck ,0.00570841291909975
 = ,0.005643445796469271
 =,0.00562207940185508
check,0.005402588859548769
ul,0.005379911722934604
heck,0.004978522713233605
 to ,0.004948948056156413
) ,0.004781291350336744
to ,0.004762263050370941
check ,0.004741676609889313
chec,0.004686308127611108
eck,0.004671636154735258
eck ,0.004244734113900059
 is ,0.004237773505111193
 to,0.003970416259328967
e ,0.003969781696190431
ec,0.0034458608351601774
k ,0.0033029871560463194
els,0.003297672102022089
 t,0.0032192060923095793
 ch,0.0030831204047542856
f(,0.0030722951167040367
 else,0.0030508987451912735
else,0.002973929073491483
to,0.002927992507075376
 els,0.002892434419103152
 { ,0.0027723699685111842
 if(,0.0027583641840311624
 {,0.0027524937772323106
su,0.0027357479282819077
 else ,0.0026486887122682957
it,0.002633784737233169
if(,0.0025994881033345224
ult,0.002570638450013401
lse ,0.002564884013035358
ck,0.0025611469656853752
{ ,0.0025338867991598736
se ,0.002463510309165291
sul,0.0024444293172734446
 of,0.002429015549433686
else ,0.002408890592021162
esult,0.0024041115121710564
m ,0.0023891928288844416
resu,0.0023773387638323547
 el,0.0023738591827768742
um ,0.0023697840190456147
esul,0.0023654387976104058
lt,0.0023459884556454973
0;,0.0023185681579776926
resul,0.002302488349390727
of ,0.0022925013205354126
sult,0.002284251045256458
0; ,0.002248487102551107
 of ,0.0022322374563773246
result,0.0021824629636526456
 },0.002177884029033085
 } ,0.0021590459355838336
re,0.0021373105388903055
es,0.002132373546236177
 resu,0.00212896401147797
 -,0.0021230041525779914
 resul,0.0020748429046947444
 e,0.0020651187698716676
 (,0.00203817016142992
} ,0.0020058719343988615
er ,0.001998211226016521
th,0.001970587578691477
lse,0.0019512214743488598
= ,0.0019426693817286803
el,0.0018755903936378555
 1,0.001856889346761452
re ,0.0018492523093515283
esult ,0.001833920778501051
