feature,avg_importance
 = ,5.334011002121072
xt,4.9530770163441336
f(,4.252705295280061
ex,3.912445937343472
 =,3.894274537465313
0) ,3.6724390330057184
 if(,3.4415958583273536
if(,3.4383726687442895
um ,3.4135411849929715
0),3.1379211316267037
 is,3.1319515458559843
 (a ,2.945258253284761
pl,2.8226016635653073
ul,2.785220301789305
ult,2.7606462913636856
ed,2.7568868962167814
 nums,2.698047773978397
num ,2.6740963666366415
/ ,2.667152522322244
no,2.661588407767143
lt,2.6234848009955574
 if,2.567320514261831
 { ,2.5370638384439896
gth() ,2.463061998707764
 2,2.418432407892042
", ",2.4166961826041717
ne,2.4081076977493203
th() ,2.38875831182533
h() ,2.38875831182533
 {,2.3375468214247155
 c) ,2.336817735186088
(i ,2.3044148910936437
"s,",2.2983365781013774
 2),2.297432049053726
wer,2.268336615813645
 >= ,2.2316008049358502
 } ,2.2267934719910163
 b; ,2.195642507745097
 b;,2.194312593275334
: ,2.1905908557114673
ig,2.175840071854326
>= ,2.1738216661909933
-1,2.0974089438133827
() ,2.077888466795647
(nums[,2.0378711311675097
 (,2.0344897418133607
 },2.026872104261229
 4,1.999929382885326
if,1.9723553800204665
 5,1.965782183095683
m ,1.9642968774168699
 s,1.9371492348285289
 x,1.9362484179001689
) ,1.9296955056984655
i+,1.917899472635432
 i++) ,1.9143035593840392
xy,1.9067231992598337
ent,1.887566276154736
 >=,1.8786479148209754
gb,1.873745533615181
 == ,1.8717398114532922
// ,1.866626600953901
 // ,1.866626600953901
ars,1.8606600786154786
 (in,1.839194056476357
 (i ,1.835943411728468
1),1.8289062976757298
odd,1.82705238697068
(n ,1.8201674668457293
} ,1.7837886267279708
 - ,1.7820178570001182
 (int ,1.7687090238645062
 -,1.7649010447886542
 (int,1.7568018474796108
)),1.74917690649648
- ,1.740048685425803
3),1.7385759983426967
{ ,1.734323732550238
 (i,1.7313913611802794
le ,1.6953097715536305
 nums[,1.688094845027388
 1] ,1.6752151757974167
 ==,1.6491059250292328
== ,1.6437242944827442
iz,1.6421690206109594
 1],1.6320778580487523
.e,1.631521118899285
mi,1.6259488425864785
ms[i ,1.594422649448144
ums[i ,1.594422649448144
n ,1.5734965896129056
ys,1.572972691184959
r(,1.5612204940166072
s[i ,1.5471068355717712
re,1.5379250349266498
(c,1.5312495095021186
if ,1.5292313112582172
 i++),1.5239785641044534
 b ,1.5163917984591966
ft,1.5138590641025762
tru,1.5016120785798606
""")",1.5014358303731947
)) ,1.5009991709899195
we,1.492156560184226
21,1.4900831908831975
f ,1.4768519099971422
or,1.4681764896104326
 g,1.457305539243881
j ,1.4562488567672134
bs,1.4447376193448296
(nums,1.4410051015844187
b; ,1.4360363641542724
b;,1.434400727627465
max,1.4338504116960415
.a,1.432797607482458
ax,1.4327331309242166
 if ,1.4326444151061375
 += ,1.4325526446049208
3) ,1.4286706441948889
t.,1.4263024715771997
2) ,1.426194052786068
c) ,1.4253254004859424
sult ,1.4208446616903339
esult ,1.4208446616903339
lt ,1.417989478542991
ult ,1.417989478542991
ter,1.4129537751300847
 13,1.410112864241572
at(i,1.4055827908815948
rat(i,1.4055827908815948
arat(i,1.4055827908815948
 int ,1.4005245718329955
mp ,1.3959797561616862
rue,1.3912018556310262
true,1.3912018556310262
as,1.3796829181233845
ma,1.3751317091822817
