feature,avg_importance
if(,0.043975815
ult,0.023453273
 // ,0.021014668
rue;,0.01805958
 if(,0.016754188
(i ,0.015345219
ul,0.015336258
alse;,0.015089477
 (nu,0.012735226
rue,0.012558451
 = ,0.010753675
gth();,0.010438294
tru,0.009180555
as,0.00870171
lt,0.0077124955
 0; ,0.0072160517
min,0.007180138
: ,0.007042714
if ,0.0064988793
ms[i ,0.0064376425
sum ,0.005886187
esult ,0.0057580643
alse; ,0.005728913
"s,",0.0056993756
/ ,0.0056946445
i],0.005662007
rue; ,0.005056532
ru,0.005027348
 + ,0.004999899
 += ,0.0049544536
 x,0.0047418247
i+,0.004731465
0) ,0.0046282527
lse,0.004540496
ma,0.004476751
nt,0.004437383
ars,0.0043891077
bo,0.004376445
ue,0.0043458454
str,0.004298383
als,0.004216715
lt ,0.0041651446
"a,",0.0040940843
 (in,0.0040402696
 p,0.0040142653
+ ,0.003995021
ub,0.0039578164
.su,0.003894613
if,0.0037778846
0; ,0.003743763
 (int ,0.0037364843
a ,0.0037332722
f ,0.0036678328
 fi,0.0036344144
els,0.0036326565
(b,0.003585472
 boo,0.0035660795
ent,0.0035165844
 >= ,0.003513744
s;,0.0034068464
 +=,0.0034027237
1),0.0033712548
 0;,0.0033567129
f(,0.0033504367
ex,0.0032992607
fi,0.0032619087
 fa,0.0032535046
 { ,0.0032350393
ew,0.0032118529
int[],0.0031310308
 1],0.003089447
 fo,0.0030253713
-1,0.003024473
ing,0.0030155275
h;,0.0029636738
(nu,0.0029615131
)) ,0.0029299853
 t,0.0029091402
 +,0.0028478687
(nums,0.0028453653
 (nums,0.002843299
() ,0.0028414438
0),0.002783129
++; ,0.002782112
 if,0.002774418
!=,0.002700924
 - ,0.0026518283
 (s,0.0026509962
at,0.00264441
 0 ,0.002636599
c ,0.0026123004
se,0.002609472
an ,0.0025870735
ir,0.0025821086
 fal,0.00256322
r ,0.0025499875
 13,0.0025392123
fa,0.002515796
ap,0.0024705734
de,0.0024322032
ax,0.0024157627
