feature,avg_importance
 // ,0.15202245
/ ,0.055894226
esul,0.044505283
 el,0.015677745
alse;,0.014226731
els,0.013348468
 the ,0.013247987
 if(,0.01142088
: ,0.009720408
 boo,0.008500492
mp,0.008383871
 != ,0.0076925354
 10,0.007052663
ult,0.0069843326
ue,0.0068536825
ew,0.0062986556
 e,0.006254398
 = ,0.0061764615
esult ,0.00611738
lt ,0.005932793
gth() ,0.0057314555
 resu,0.005474529
ul,0.0053249137
f(,0.0052441694
)) ,0.004981622
 st,0.0048575695
um ,0.004810808
 (nu,0.0045674867
t[,0.0045231455
cl,0.004489747
nc,0.0042347102
alse; ,0.0042163003
lse,0.00419738
ti,0.0041165636
 +=,0.004053889
else,0.0038330415
len,0.0038172973
as,0.003800621
t(i,0.0036326048
"a,",0.0035976733
 (in,0.0035619875
su,0.003468524
(i ,0.0034386583
0;,0.0033926612
ra,0.0033823594
 str,0.003366911
tr,0.0032944328
 fa,0.0031329638
; ,0.0031285184
 1;,0.00303856
ind,0.003028095
lt,0.0030055214
(b,0.0029666075
> ,0.0029623327
 =,0.002936157
ne,0.0028934923
i+,0.0028891787
ms[i] ,0.0028610185
tring ,0.00278123
 (int,0.0027580392
 p,0.0027489227
num ,0.0027350113
 2 ,0.0027280767
 -,0.0027276238
ea,0.0026936592
0; ,0.002678765
an ,0.0026326883
[] ,0.0026325257
 ma,0.0025951182
 str.,0.0025882723
ic,0.0025829696
ex,0.0025446152
ic ,0.00253909
) ,0.0025046023
boo,0.0025036207
e;,0.0024931342
rue,0.002489285
 (s,0.0024827074
() ,0.0024561747
(n,0.0024456708
if(,0.0024414395
 !,0.0024309005
ol,0.002374419
 (,0.0023665063
ax,0.0023408781
ength ,0.0023083407
 += ,0.0022820244
ru,0.002267233
 >= ,0.0022664838
str,0.002265675
the,0.002252383
[],0.0022263965
 0; ,0.002202613
nt ,0.0021873077
] ,0.0021653513
 0;,0.0021584989
 new,0.0021554895
t.,0.0021541526
n ,0.0021042016
fir,0.002090431
 i++) ,0.002084775
 {,0.0020576708
.sub,0.002042846
(c,0.0020291142
al,0.0020146603
 nums,0.0020112703
re,0.0020016613
ng,0.0019874943
 la,0.0019595246
int[,0.0019273825
 1,0.0019257547
 == ,0.0018888186
een,0.001862274
 - ,0.0018568778
 (nums,0.0018428238
th,0.0018409645
t;,0.0018218207
arat(i,0.0017996794
nd,0.00179334
 (i,0.0017801268
m ,0.0017618224
to,0.0017498871
+),0.0017331601
 int,0.0017312324
co,0.0017244482
(i,0.001704001
 els,0.0016814767
 + ,0.001674766
gh,0.0016463785
+ ,0.0016461473
bo,0.0016396861
ms,0.0016197477
ho,0.0016149211
ast,0.0016135022
h ,0.0016049509
10,0.0015977503
 <= ,0.0015960223
etu,0.0015952444
 2,0.0015909018
0),0.001589507
 re,0.0015810189
); ,0.001575043
1 ,0.0015438676
ring ,0.0015278609
i ,0.0015058005
 fo,0.0015043527
==,0.0015036827
 stri,0.0014914775
tru,0.001489935
 n ,0.0014752421
dd,0.0014704046
ub,0.0014698767
rn ,0.0014631487
ri,0.001454923
ld,0.001439299
eturn ,0.0014389127
(str.,0.0014337082
", ",0.0014323051
 0,0.0014259471
 f,0.0014204576
de,0.001420081
ms[i,0.0014196986
 } ,0.0014190758
 sum ,0.0014103507
fa,0.0014063022
 &&,0.001378946
ms.,0.0013731782
{ ,0.0013618964
t; ,0.0013588788
end,0.0013455334
(stri,0.0013291464
 n,0.0013278218
 c) ,0.0013261634
g ,0.0013160292
in,0.0013147662
rue;,0.0013066189
 (n,0.0013051231
st,0.0012785196
a ,0.0012769736
st ,0.0012718423
);,0.0012674534
 { ,0.0012662538
r ,0.0012517045
+) ,0.0012489803
 ==,0.0012382831
als,0.0012165285
if,0.0012099065
n),0.0011986586
];,0.0011867251
 i ,0.0011862603
(),0.0011780027
 res,0.0011665424
 r,0.0011577852
e ,0.0011572961
 in,0.0011514307
 te,0.0011403373
se ,0.001138612
 5,0.0011380961
e(,0.0011363436
um,0.001129011
 +,0.0011184247
ls,0.0011158867
arg,0.0011131667
 <,0.0010943122
(int ,0.0010719462
 nums),0.001066226
1;,0.0010629467
 (int ,0.0010611935
++,0.0010603545
 ne,0.0010513465
(s,0.001048051
 if,0.0010412283
 },0.001039309
un,0.001030913
em,0.0010237277
t(,0.0010176782
e; ,0.0010043139
)),0.0009990609
lse;,0.000995888
 nu,0.0009948658
 i+,0.000992512
min,0.0009808945
ir,0.0009783822
s.,0.0009664362
 s,0.000963962
 b,0.00096047163
bl,0.0009604132
!=,0.0009543246
oun,0.0009537622
 co,0.00095184706
 i,0.0009506105
dex,0.0009500003
 a ,0.00094472786
se,0.00094373926
t ,0.00093324087
ere,0.0009313918
 int ,0.000926853
nt,0.0009268029
0) ,0.0009237696
int,0.0009200766
(nums,0.0009170626
r),0.0009149584
 a,0.0009075352
fo,0.00090248854
 > ,0.00089321507
it,0.0008860319
ean ,0.00087976403
er,0.0008788691
ig,0.0008779446
 t,0.00087345764
 >,0.0008698153
s(,0.0008655844
1; ,0.0008610352
mi,0.00085770764
0 ,0.00085651467
 i++,0.0008467761
 1; ,0.00084282935
bu,0.00084231456
es,0.0008413702
} ,0.0008303111
esu,0.0008283575
irs,0.00082586415
etur,0.00082563254
ent,0.0008234821
rst,0.0008199569
 0),0.00081601186
 &,0.0008120047
 c,0.0008109384
ed,0.0008060549
 if ,0.0008018447
 |,0.0007951976
r) ,0.0007947718
));,0.00078848505
 bo,0.00078234053
nums,0.0007819131
&&,0.0007804944
 < ,0.0007757353
== ,0.0007622044
ength;,0.0007597139
 (a ,0.0007590137
et,0.0007586306
en,0.0007493873
 boole,0.000747971
sum ,0.00074685266
 pu,0.00074586115
le,0.00074568443
 nums[,0.00074454927
te,0.0007431116
||,0.0007373363
sp,0.0007292754
va,0.00072012516
<=,0.0007194233
ou,0.0007182293
(a,0.000711287
lse; ,0.00071012275
pe,0.00070944754
int ,0.00070889323
