feature,avg_importance
 = ,0.02729565625585566
/ ,0.019664514958953536
if(,0.01655007898204874
ul,0.016091215254131673
: ,0.015528635018238611
 (,0.013440765890345725
 0;,0.011860793019699098
 >= ,0.010967443462519193
 {,0.010726115016723475
ub,0.010710547280162144
i+,0.010607072651070868
n ,0.009997624717655595
// ,0.009415737663950067
 (s,0.009103261383675914
 } ,0.008802196363421015
 i,0.008710609055108308
", ",0.008540180436340212
 (int ,0.008270725928699
(a,0.00807702419280642
 -,0.008044601260485422
(nums[,0.008022148844580386
0) ,0.00797405850575164
 p,0.007931904314838808
 if,0.007904322100065699
ue,0.007900666722134572
ex,0.00786538258606888
 b,0.007690996030470234
ys,0.007286264952826783
 a ,0.006976260080980779
r(,0.006916508600868525
lse,0.006897768781388015
) ,0.006867117982103417
tru,0.006801975606768487
 // ,0.00672553600177164
re,0.006553447076963378
ent,0.006198004510284729
fi,0.006182110545460313
 x,0.006113550659771185
 re,0.006088117135447629
 (i,0.005957302857433649
 m,0.005748344613403361
in,0.0056968246941514235
1),0.0056872051697503785
)),0.00559308746085064
 { ,0.0051947889124399045
ls,0.005091085525219013
r ,0.005044665436651357
ew,0.004991946091424943
 (i ,0.004976001644384372
nt,0.004945563220113216
el,0.004944656241835117
 i++) ,0.00492841700731005
(int ,0.004909765099835136
 2,0.0048831012562102925
at,0.004661684894408598
 g,0.004622580909530641
de,0.004540970302587809
 &,0.004498025285110583
; ,0.004495700355985803
su,0.004450058221009732
 =,0.0043986011844474445
pl,0.004392904117772876
um ,0.004384185192342404
as,0.004319255757588309
ed,0.0041944414545727
t ,0.004104170881191817
tr,0.004073042226839189
(nums,0.004010699437661426
else,0.004010503198718068
a ,0.003850697031828941
 f,0.003838174867081555
ru,0.0038296455733009328
 - ,0.0037871939381514735
> ,0.003735535309254002
+ ,0.003713871361290062
 += ,0.0036541020987834044
 (n,0.003651340037233546
(b,0.0036397345031658522
ult,0.003513103858954791
 0,0.003407430468693629
= ,0.0033527219990250375
turn ,0.0032862032216400914
eturn ,0.0032689106310118243
];,0.0032401610135440128
g ,0.0032395741349491463
 is,0.0032080096708048873
1;,0.003187313311375684
 2),0.0031808390592198083
[i,0.003073903441062102
if,0.0030527805308811396
-1,0.0030491190126447983
.s,0.002982706879256853
max,0.002966277766039567
 0; ,0.002935793156195096
 int,0.0029027491076714794
f(,0.002898328643205681
 (a ,0.0028507195035215806
th,0.0028011905820187434
 <,0.002790698648701694
gth() ,0.0027602996814061016
els,0.0027557315956119434
 4,0.0027446760445371805
 num ,0.0026904221779204176
als,0.0026871317073807544
]; ,0.0026813836209434454
bs,0.002574246989916548
gb,0.002545291836812131
i ,0.002542133672744033
)) ,0.002540565586585548
(i,0.0025377820325038895
"a,",0.0025087021853194735
al,0.0025081113400043974
mi,0.0024923087510959037
 i ,0.002476935279191023
(i ,0.002476172708841641
 c) ,0.0024443955755752886
 sum ,0.002412668988092197
fa,0.0024090320048012837
(a ,0.002361924014900327
 (num,0.002360453028076395
la,0.002352989162265706
nt ,0.0023472041888933527
 fi,0.0023218524148397993
2),0.002290719740353304
ar,0.00226628386356325
));,0.0022563153540595417
 1;,0.0022373360013309123
int,0.0022233144235715594
(s,0.0022211935126896913
xy,0.0021765087649954456
++; ,0.0021366035790474167
.l,0.0021006286665673536
esult.,0.002086219148134728
len,0.0020728731671968443
 n,0.0020718200284640612
ig,0.0020386965867567543
sum ,0.0020337956864574245
0),0.0020218562194514213
ms[i] ,0.001961947946136702
 +,0.0019584382599917836
ng,0.0019520190293057559
0;,0.0019188131387520885
e ,0.0019030338265839126
);,0.001888843917774177
 0 ,0.0018714626771647105
ce,0.0018372488583320123
0; ,0.0018282862753898905
(),0.0018115141496829806
 e,0.0017996266264275833
- ,0.0017962121390706393
for,0.001755573729702099
da,0.0017316361808826476
nd,0.0017137899009062431
rue;,0.0017119819124980658
b ,0.0016908455699187791
il,0.0016877854270957045
sult.,0.0016854339732277806
 1,0.0016803541646919452
 (int,0.0016726112773910477
di,0.0016521990398294965
 s,0.001640119949178596
();,0.0015827612893155717
 int ,0.0015797782709538555
or,0.0015687487244023157
ir,0.0015580250390341008
et,0.0015500980157649522
"s,",0.0015246679731119662
++),0.0015093195288190752
nums,0.001491220862242581
va,0.0014892251351638574
 (nu,0.0014512707661915693
ea,0.0014496431203635748
it,0.00144424394768682
bo,0.0014230531429553425
true;,0.001411384227942233
!=,0.0013929466944829422
an ,0.0013918019266487595
 && ,0.0013842905934018776
