feature,avg_importance
/ ,0.051681487223313644
if(,0.036182939216775185
 = ,0.035263251354209345
 // ,0.019755579540926306
 (,0.01832624939994421
 { ,0.014667617752478894
// ,0.014565685210522228
; ,0.014034912396055936
0),0.013049994024688831
 (i,0.010039056094228284
 0,0.009365876142279662
re,0.009267706762940168
ub,0.008826306473466662
tru,0.008665138882936945
i+,0.008522009727027215
in,0.0074629679415637255
lse,0.007458458961172846
 b,0.007412752151827493
 re,0.007412326587686832
nc,0.007367302458170636
(nums,0.007058020822496335
 a ,0.007052761633670941
)) ,0.007020098070142079
mi,0.006965716526204526
 n,0.0068273140984404825
ul,0.006759336341206798
els,0.006742207347327636
.s,0.00661570590104249
 {,0.006603841745627612
de,0.006592693005242039
um ,0.006463833294108956
(b,0.0062692154367985555
: ,0.006008603094970024
e ,0.005876968416313731
max,0.0058546116929386405
= ,0.00583883705143055
else,0.005814115610400248
nd,0.005799287204749259
em,0.005779459789150771
int,0.00576453773246413
cu,0.005759656160144614
", ",0.005621939761533328
f(,0.0055652614200741414
nt,0.005557608898610309
c ,0.005536798180547495
[i ,0.005463771188279041
) ,0.005442980559088662
0; ,0.0054393773829719
n ,0.005425532103890971
]; ,0.0053441922907787745
(i,0.0053404274318129726
ra,0.005335058446984984
 2,0.005304607045354807
 p,0.005245581074547237
(i ,0.005056219411417412
 i,0.004907355596627088
su,0.004900216357517456
bl,0.004745781350390688
];,0.004557496574742713
 la,0.0044943882506453935
(n,0.0043741440804753095
 =,0.004361665327554218
+ ,0.004215240224509351
if,0.004203267761579486
ent,0.0040537239053435896
[i,0.004040243656493523
(int,0.003975483891136201
 str.,0.003828857969570447
ult,0.003776654022736371
(nums[,0.0037284138363799964
"(""",0.003720830573181213
 i++) ,0.003706502871171394
 2),0.00366153486691978
g ,0.0036033547451338314
ic,0.0035605709449485832
r(,0.003526444937988784
 (s,0.0035110273401883357
ax,0.0034901795226435074
 the ,0.003447926811026448
r ,0.0034446069574747174
a ,0.0034426165852989576
it,0.003433626202602966
 2 ,0.0034262353707297795
t.,0.003321061915462591
 += ,0.003319658139827673
1;,0.0032866852402002687
(a,0.003267464989454698
 (n,0.0032404120589872598
len,0.0032141137544186432
!=,0.003058466603625292
rn ,0.003009958818049245
 1,0.002949588057291186
 +,0.0029328549547962685
 <,0.002926037604225179
ren,0.0028999208490919533
the,0.0028768361097815916
 == ,0.002870948750746362
tr,0.0028050477281653706
s.,0.0028043711292704094
 f,0.002802914847485327
 for,0.0027085906426690615
ng,0.00269992980674994
"a, ",0.002673744430995349
0;,0.002642911443944853
gth() ,0.0026424584302964815
< ,0.0026113233501449547
 c,0.0025944513797624817
num ,0.0025920289833271455
ed ,0.0025332921011698224
the ,0.0025247623784354105
rst,0.0025159419272331035
t ,0.0025140161402487393
 } ,0.002486291793383641
c),0.0024774125575766992
ex,0.0024596449476242707
al ,0.0024136607668520994
 r,0.002403190834150257
ru,0.0023179718776068785
 s,0.002307027970116508
um,0.0022192486977202167
"a,",0.0022158066468210016
 i ,0.002210155118470776
//,0.002179989939534751
 l,0.002160540743991614
he,0.0021360895690321975
fo,0.0021250178029486927
 0;,0.002094691634030753
 n ,0.0020940823002839845
check ,0.00209250673923468
str,0.0020685570951693537
 >,0.002037743621939094
 sum ,0.001968483253512109
or,0.001964790143897713
i],0.0019567896445768394
(a ,0.0019502166363486186
as,0.001935528308085345
 0; ,0.0019312620323978342
rre,0.001908594228219681
lse; ,0.0018679727844695792
 -,0.0018647372710714927
 if,0.0018619773039040336
tring ,0.0018402034677648769
la,0.0018204131935523307
ir,0.0018103764830392837
ls,0.0017528757079361514
alse; ,0.001750825580774982
+; ,0.001746337455217188
t(,0.0017190642803437085
h;,0.0017077912386839317
at,0.0016874020123323246
 g,0.0016589689433852083
 nums,0.0016543599216325975
 5,0.0016541688666280414
 },0.001654098246347768
e;,0.0016261487753653147
)),0.0016235689147399673
esult ,0.0016230324400195878
);,0.0016142649055500807
alse;,0.001599139750973189
(int ,0.001580324178174116
 ma,0.0015649790078048791
 (nums,0.0015608038648422446
al,0.0015555490722066715
i ,0.0015511570382691444
se,0.0015396617439105815
+= ,0.0015119928265556757
 if(,0.0015020529468168244
 in,0.0014725142067868733
ur,0.0014678948490966792
> ,0.0014521488515230124
et,0.001404101700125537
 (a,0.0013982064737760752
 t,0.0013855966039635216
n) ,0.0013697119623332285
""")",0.0013692029654343038
le ,0.0013551625226830685
 int,0.0013336248481157131
nt ,0.0013214214121168685
 str,0.0013212551345084874
 >= ,0.001312275689740666
 fi,0.0013102481750604789
rn,0.001281682202171128
ti,0.001276085499376506
ubl,0.001275519108141215
fi,0.0012671128333530722
ip,0.0012615606906633142
ed,0.0012551887456679622
rent,0.0012523560039455813
to,0.001251678505450631
ck,0.001250668009721839
 !,0.0012460482061234287
 &,0.001244271619600968
 +=,0.001243956928705763
th,0.0012255368519769182
t; ,0.0011913630366878947
 int ,0.0011719626037493699
true; ,0.001140440415104628
 b ,0.0011329461310231963
le,0.0011245003641104797
 + ,0.0011089901757154624
s[,0.001104824660292496
mp,0.0011018652441025926
 su,0.0010849852682727334
als,0.0010719193097504804
(in,0.0010713651698121014
] ,0.0010702814342905148
(),0.0010669458425109893
rue;,0.0010668196428133712
true;,0.0010666127506407522
));,0.0010604271813349816
va,0.0010504088748140088
ic ,0.001049850040186707
 (nu,0.0010335689783048697
 6,0.0010289835403219062
