Loopnr,TN,FP,FN,TP
1,518,83,97,502
2,507,114,92,487
3,530,96,118,456
4,521,69,123,487
5,507,92,130,471
6,495,90,103,512
7,501,108,95,496
8,452,147,97,504
9,509,93,99,499
10,565,51,135,449
11,486,96,138,480
12,482,115,122,481
13,481,122,93,504
14,509,87,143,461
15,491,103,122,484
16,526,76,127,471
17,471,119,112,498
18,507,86,123,484
19,496,85,109,510
20,531,70,137,462
21,500,77,145,478
22,505,102,96,497
23,521,86,121,472
24,523,92,97,488
25,527,89,127,457
26,528,60,116,496
27,495,93,112,500
28,491,100,120,489
29,506,92,119,483
30,531,71,105,493
31,524,84,112,480
32,539,91,102,468
33,499,79,128,494
34,534,82,109,475
35,487,123,91,499
36,503,81,128,488
37,467,125,100,508
38,488,88,102,522
39,495,107,116,482
40,512,94,99,495
41,525,68,137,470
42,491,101,107,501
43,487,115,88,510
44,497,79,138,486
45,497,95,122,486
46,538,61,128,473
47,477,88,111,524
48,518,86,129,467
49,522,98,99,481
50,473,105,100,522
