Loopnr,TN,FP,FN,TP
1,479,109,131,481
2,502,129,145,424
3,486,112,133,469
4,442,147,119,492
5,484,111,115,490
6,459,154,120,467
7,496,95,189,420
8,496,108,122,474
9,468,112,138,482
10,481,122,102,495
11,466,153,102,479
12,477,101,137,485
13,471,149,121,459
14,504,121,111,464
15,457,114,118,511
16,464,142,94,500
17,454,144,134,468
18,495,118,124,463
19,471,134,126,469
20,470,133,105,492
21,529,95,130,446
22,508,117,138,437
23,526,96,143,435
24,478,144,113,465
25,487,92,159,462
26,478,114,145,463
27,472,118,125,485
28,486,98,156,460
29,479,144,91,486
30,470,134,120,476
31,477,103,136,484
32,451,155,110,484
33,527,125,118,430
34,498,116,121,465
35,505,97,120,478
36,466,128,120,486
37,501,110,137,452
38,476,153,96,475
39,480,119,120,481
40,510,100,126,464
41,487,127,133,453
42,479,152,104,465
43,461,116,135,488
44,475,121,150,454
45,483,132,115,470
46,492,127,125,456
47,490,122,128,460
48,472,128,114,486
49,454,160,105,481
50,511,72,166,451
