Loopnr,TN,FP,FN,TP
1,568,23,26,583
2,563,37,26,574
3,586,19,43,552
4,552,18,33,597
5,551,36,32,581
6,537,28,38,597
7,570,41,39,550
8,581,33,28,558
9,571,31,21,577
10,564,19,24,593
11,561,33,33,573
12,556,33,31,580
13,544,46,28,582
14,530,34,33,603
15,577,32,26,565
16,575,31,24,570
17,559,40,29,572
18,601,35,18,546
19,596,32,31,541
20,560,44,37,559
21,589,25,33,553
22,588,28,31,553
23,560,41,30,569
24,569,27,30,574
25,567,47,25,561
26,586,16,28,570
27,589,35,18,558
28,565,38,28,569
29,566,35,38,561
30,557,22,48,573
31,586,21,35,558
32,581,26,23,570
33,548,36,31,585
34,580,34,32,554
35,566,23,39,572
36,577,36,19,568
37,564,36,26,574
38,576,31,30,563
39,558,24,34,584
40,572,26,34,568
41,573,25,25,577
42,560,21,47,572
43,578,28,28,566
44,561,43,30,566
45,589,44,30,537
46,558,21,31,590
47,547,29,25,599
48,543,27,44,586
49,551,40,29,580
50,582,36,33,549
