Loopnr,TN,FP,FN,TP
1,578,18,42,562
2,584,23,35,558
3,613,19,31,537
4,576,24,25,575
5,578,21,37,564
6,577,15,31,577
7,579,24,38,559
8,576,20,24,580
9,599,17,24,560
10,596,10,41,553
11,565,19,38,578
12,587,24,26,563
13,555,22,30,593
14,594,15,34,557
15,615,24,32,529
16,596,18,24,562
17,561,21,31,587
18,602,13,27,558
19,564,23,22,591
20,582,18,26,574
21,595,20,31,554
22,573,23,28,576
23,561,16,28,595
24,586,18,24,572
25,565,24,26,585
26,579,22,35,564
27,584,17,29,570
28,589,14,21,576
29,587,20,30,563
30,581,25,27,567
31,582,25,22,571
32,558,23,33,586
33,595,19,32,554
34,559,14,24,603
35,552,13,25,610
36,596,17,35,552
37,594,12,27,567
38,575,20,29,576
39,603,19,28,550
40,597,14,30,559
41,595,15,28,562
42,586,11,27,576
43,566,29,39,566
44,590,7,27,576
45,619,15,33,533
46,564,14,22,600
47,582,19,27,572
48,601,15,26,558
49,571,19,28,582
50,592,14,20,574
