Loopnr,TN,FP,FN,TP
1,601,7,13,579
2,630,8,14,548
3,592,8,10,590
4,595,9,16,580
5,576,9,8,607
6,595,9,17,579
7,606,10,16,568
8,593,7,10,590
9,610,10,16,564
10,616,8,12,564
11,602,9,18,571
12,605,7,11,577
13,598,13,12,577
14,606,11,11,572
15,568,8,11,613
16,602,6,10,582
17,591,3,15,591
18,582,11,17,590
19,610,5,16,569
20,590,5,14,591
21,611,9,15,565
22,601,6,14,579
23,598,6,17,579
24,604,6,15,575
25,567,7,19,607
26,599,11,14,576
27,601,7,18,574
28,595,11,16,578
29,583,10,16,591
30,594,5,15,586
31,591,6,10,593
32,601,6,9,584
33,576,10,16,598
34,592,13,14,581
35,571,9,17,603
36,590,8,14,588
37,581,8,17,594
38,608,8,17,567
39,585,9,17,589
40,587,9,15,589
41,606,11,14,569
42,576,11,19,594
43,601,13,19,567
44,585,12,13,590
45,607,12,15,566
46,560,11,13,616
47,577,6,20,597
48,625,9,17,549
49,585,9,14,592
50,588,8,14,590
