Loopnr,TN,FP,FN,TP
1,551,59,75,515
2,525,71,81,523
3,550,73,79,498
4,540,73,81,506
5,521,65,75,539
6,530,57,90,523
7,543,56,81,520
8,535,59,92,514
9,565,54,86,495
10,535,47,78,540
11,531,68,78,523
12,545,69,70,516
13,534,52,66,548
14,557,57,61,525
15,534,56,81,529
16,541,57,71,531
17,536,62,81,521
18,560,62,63,515
19,531,63,83,523
20,549,62,85,504
21,563,63,79,495
22,551,53,91,505
23,537,67,69,527
24,522,61,74,543
25,544,64,80,512
26,548,59,79,514
27,544,72,73,511
28,533,68,83,516
29,521,60,63,556
30,530,56,82,532
31,532,58,75,535
32,537,57,76,530
33,530,67,79,524
34,533,58,69,540
35,535,78,73,514
36,561,49,81,509
37,533,70,71,526
38,532,67,67,534
39,528,53,103,516
40,527,58,91,524
41,571,58,74,497
42,546,63,79,512
43,529,72,66,533
44,512,59,93,536
45,520,64,93,523
46,548,53,66,533
47,540,62,88,510
48,549,53,84,514
49,527,73,72,528
50,521,71,73,535
