Loopnr,TN,FP,FN,TP
1,582,10,10,598
2,563,7,15,615
3,595,12,15,578
4,615,10,21,554
5,582,16,17,585
6,587,10,15,588
7,578,13,24,585
8,548,10,18,624
9,582,12,17,589
10,581,10,13,596
11,569,16,11,604
12,569,11,17,603
13,585,12,25,578
14,602,11,17,570
15,580,10,15,595
16,593,10,13,584
17,571,12,14,603
18,561,10,15,614
19,610,11,20,559
20,597,11,13,579
21,577,9,20,594
22,591,10,9,590
23,574,14,8,604
24,577,13,18,592
25,601,6,27,566
26,573,15,22,590
27,542,13,18,627
28,589,12,19,580
29,592,6,19,583
30,585,14,16,585
31,589,9,17,585
32,599,13,11,577
33,603,14,28,555
34,591,7,18,584
35,607,7,24,562
36,607,8,13,572
37,574,10,20,596
38,613,11,21,555
39,578,10,17,595
40,564,12,14,610
41,594,16,19,571
42,592,16,19,573
43,563,15,18,604
44,561,12,19,608
45,586,7,18,589
46,602,11,21,566
47,557,12,21,610
48,565,10,14,611
49,600,3,22,575
50,571,16,17,596
