Loopnr,TN,FP,FN,TP
1,528,78,32,562
2,521,86,34,559
3,525,78,33,564
4,533,87,36,544
5,529,84,27,560
6,522,73,51,554
7,525,71,35,569
8,503,95,23,579
9,521,74,40,565
10,513,83,24,580
11,489,96,27,588
12,531,80,28,561
13,494,88,38,580
14,529,86,30,555
15,528,82,24,566
16,542,78,18,562
17,523,87,32,558
18,491,89,37,583
19,514,79,36,571
20,504,78,23,595
21,517,100,21,562
22,526,67,32,575
23,522,67,61,550
24,543,73,40,544
25,523,47,65,565
26,498,87,25,590
27,517,80,45,558
28,523,72,44,561
29,524,71,39,566
30,536,85,31,548
31,505,75,24,596
32,506,79,28,587
33,527,79,56,538
34,531,82,35,552
35,527,99,24,550
36,519,92,32,557
37,543,90,32,535
38,556,71,35,538
39,527,87,29,557
40,527,64,49,560
41,517,70,40,573
42,528,76,29,567
43,512,82,25,581
44,509,91,24,576
45,534,63,55,548
46,491,104,29,576
47,489,92,26,593
48,540,72,36,552
49,462,98,37,603
50,534,92,24,550
