Loopnr,TN,FP,FN,TP
1,555,45,51,550
2,552,52,45,552
3,545,38,75,543
4,584,37,62,518
5,539,56,46,560
6,522,52,57,570
7,522,45,69,565
8,565,32,53,551
9,505,64,43,589
10,535,38,58,570
11,585,45,33,538
12,542,48,42,569
13,575,29,64,533
14,558,40,54,549
15,567,46,75,513
16,555,64,44,538
17,554,41,39,567
18,524,62,47,568
19,544,45,47,565
20,581,40,65,515
21,555,48,66,532
22,549,58,42,552
23,519,55,41,586
24,568,70,33,530
25,527,72,12,590
26,546,41,55,559
27,544,44,56,557
28,547,28,49,577
29,518,58,76,549
30,560,40,53,548
31,549,47,28,577
32,544,52,55,550
33,541,52,48,560
34,556,55,28,562
35,541,40,58,562
36,548,59,49,545
37,547,60,33,561
38,572,45,63,521
39,534,59,25,583
40,581,41,67,512
41,525,53,50,573
42,566,41,44,550
43,550,52,53,546
44,528,55,39,579
45,519,55,36,591
46,557,56,40,548
47,573,38,39,551
48,582,47,58,514
49,572,34,83,512
50,538,48,52,563
