Loopnr,TN,FP,FN,TP
1,492,111,58,539
2,482,119,61,538
3,495,96,63,546
4,500,100,59,541
5,481,107,74,538
6,486,108,51,555
7,428,143,60,569
8,477,111,55,557
9,468,108,59,565
10,488,114,48,550
11,520,88,74,518
12,511,86,61,542
13,452,106,62,580
14,505,98,72,525
15,496,108,71,525
16,478,110,71,541
17,511,86,82,521
18,501,129,49,521
19,543,76,95,486
20,503,99,86,512
21,492,114,56,538
22,498,88,77,537
23,483,125,55,537
24,496,98,76,530
25,478,126,55,541
26,505,95,87,513
27,485,101,63,551
28,505,107,57,531
29,488,105,53,554
30,497,92,68,543
31,503,104,56,537
32,491,108,57,544
33,497,98,56,549
34,509,90,72,529
35,508,85,70,537
36,526,94,54,526
37,502,114,68,516
38,470,111,68,551
39,493,89,73,545
40,481,110,70,539
41,518,66,116,500
42,493,121,44,542
43,484,119,53,544
44,514,87,86,513
45,510,69,83,538
46,538,74,86,502
47,464,103,60,573
48,485,95,97,523
49,508,98,69,525
50,495,115,68,522
