Loopnr,TN,FP,FN,TP
1,558,53,61,528
2,555,50,52,543
3,574,40,68,518
4,557,54,58,531
5,549,58,58,535
6,555,43,67,535
7,540,38,56,566
8,548,44,69,539
9,581,43,63,513
10,546,48,51,555
11,544,57,43,556
12,569,38,78,515
13,548,59,61,532
14,576,42,66,516
15,553,59,57,531
16,560,55,65,520
17,514,79,50,557
18,550,55,59,536
19,534,54,50,562
20,538,50,48,564
21,543,49,62,546
22,520,67,53,560
23,556,64,76,504
24,563,48,48,541
25,562,57,50,531
26,523,48,65,564
27,561,50,60,529
28,545,54,65,536
29,569,42,58,531
30,538,55,47,560
31,546,65,60,529
32,504,67,60,569
33,572,54,51,523
34,563,53,63,521
35,556,40,88,516
36,561,31,69,539
37,554,47,61,538
38,569,52,51,528
39,549,53,64,534
40,573,50,65,512
41,533,46,66,555
42,538,48,69,545
43,561,48,59,532
44,550,54,65,531
45,558,58,77,507
46,540,54,47,559
47,560,42,47,551
48,538,61,43,558
49,551,57,49,543
50,531,56,60,553
