Loopnr,TN,FP,FN,TP
1,873,34,62,831
2,874,39,50,837
3,836,40,61,863
4,861,38,73,828
5,864,46,62,828
6,883,40,55,822
7,845,40,62,853
8,830,50,64,856
9,838,34,57,871
10,850,53,61,836
11,887,42,55,816
12,871,36,52,841
13,869,41,62,828
14,850,37,72,841
15,879,34,65,822
16,878,34,63,825
17,824,34,72,870
18,863,41,63,833
19,848,45,57,850
20,878,37,50,835
21,828,42,53,877
22,840,44,68,848
23,839,34,80,847
24,893,26,62,819
25,869,40,62,829
26,836,35,65,864
27,862,30,46,862
28,861,43,50,846
29,853,42,46,859
30,868,68,52,812
31,851,47,61,841
32,847,52,60,841
33,849,46,74,831
34,860,40,54,846
35,887,34,56,823
36,836,45,55,864
37,855,37,43,865
38,873,30,58,839
39,864,37,56,843
40,864,40,45,851
41,853,39,41,867
42,854,28,54,864
43,875,48,43,834
44,874,32,70,824
45,845,43,66,846
46,880,36,56,828
47,854,33,47,866
48,894,35,53,818
49,836,46,53,865
50,852,27,75,846
