Loopnr,TN,FP,FN,TP
1,585,322,8,885
2,627,287,15,871
3,618,273,16,893
4,638,285,17,860
5,626,264,10,900
6,635,307,9,849
7,618,274,3,905
8,605,293,10,892
9,628,266,11,895
10,624,302,15,859
11,621,282,18,879
12,609,290,6,895
13,604,309,14,873
14,603,300,15,882
15,638,288,7,867
16,628,289,11,872
17,629,274,10,887
18,603,276,12,909
19,633,271,7,889
20,639,251,18,892
21,603,280,6,911
22,601,281,12,906
23,603,298,8,891
24,618,305,12,865
25,620,293,12,875
26,622,287,12,879
27,650,295,12,843
28,599,267,14,920
29,596,285,15,904
30,616,289,17,878
31,601,284,11,904
32,603,281,8,908
33,598,281,11,910
34,639,254,17,890
35,610,272,9,909
36,631,258,18,893
37,601,308,15,876
38,631,281,11,877
39,586,302,14,898
40,594,295,11,900
41,636,274,10,880
42,609,280,15,896
43,615,296,10,879
44,624,259,10,907
45,612,305,7,876
46,610,284,8,898
47,653,272,16,859
48,645,272,11,872
49,612,286,11,891
50,607,287,10,896
