Loopnr,TN,FP,FN,TP
1,613,294,76,817
2,625,289,63,823
3,620,271,57,852
4,629,294,64,813
5,572,318,73,837
6,622,320,56,802
7,617,275,70,838
8,591,307,73,829
9,610,284,92,814
10,584,342,47,827
11,583,320,61,836
12,655,244,67,834
13,590,323,61,826
14,629,274,82,815
15,644,282,71,803
16,630,287,72,811
17,656,247,93,804
18,671,208,98,823
19,611,293,55,841
20,594,296,82,828
21,637,246,86,831
22,615,267,78,840
23,644,257,73,826
24,612,311,72,805
25,581,332,57,830
26,636,273,71,820
27,611,334,50,805
28,584,282,77,857
29,628,253,90,829
30,619,286,66,829
31,589,296,56,859
32,625,259,82,834
33,624,255,86,835
34,659,234,72,835
35,626,256,96,822
36,634,255,96,815
37,541,368,64,827
38,631,281,64,824
39,662,226,74,838
40,662,227,77,834
41,628,282,92,798
42,642,247,104,807
43,652,259,95,794
44,581,302,66,851
45,587,330,44,839
46,584,310,63,843
47,587,338,66,809
48,599,318,51,832
49,636,262,85,817
50,619,275,60,846
