Loopnr,TN,FP,FN,TP
1,869,56,20,855
2,831,75,22,872
3,844,64,15,877
4,797,99,19,885
5,829,46,33,892
6,832,81,19,868
7,838,66,21,875
8,864,47,19,870
9,831,38,28,903
10,811,60,23,906
11,859,44,35,862
12,859,68,21,852
13,824,83,25,868
14,836,52,31,881
15,824,63,19,894
16,831,46,34,889
17,823,66,26,885
18,843,48,38,871
19,826,50,25,899
20,839,76,30,855
21,864,64,25,847
22,832,76,29,863
23,846,63,22,869
24,855,76,20,849
25,827,69,18,886
26,849,58,22,871
27,795,77,18,910
28,860,46,23,871
29,857,47,31,865
30,855,38,36,871
31,813,76,20,891
32,846,56,20,878
33,843,51,34,872
34,812,55,23,910
35,822,54,27,897
36,811,87,20,882
37,830,59,22,889
38,841,73,22,864
39,826,61,30,883
40,860,43,22,875
41,810,65,36,889
42,833,71,21,875
43,808,81,22,889
44,820,59,22,899
45,824,72,25,879
46,844,89,25,842
47,840,56,34,870
48,816,77,28,879
49,855,56,26,863
50,842,71,25,862
