Loopnr,TN,FP,FN,TP
1,484,128,98,490
2,486,123,86,505
3,444,158,54,544
4,448,136,78,538
5,441,149,58,552
6,464,137,64,535
7,497,113,94,496
8,453,146,80,521
9,473,146,66,515
10,467,137,82,514
11,468,141,80,511
12,452,150,82,516
13,491,116,80,513
14,443,124,77,556
15,453,118,122,507
16,452,139,76,533
17,456,134,104,506
18,454,141,77,528
19,478,119,106,497
20,493,119,87,501
21,479,125,90,506
22,452,121,107,520
23,454,157,71,518
24,471,143,83,503
25,463,157,80,500
26,463,129,101,507
27,485,136,92,487
28,470,136,68,526
29,467,141,68,524
30,433,148,75,544
31,460,154,91,495
32,460,146,56,538
33,457,136,93,514
34,456,135,91,518
35,477,149,71,503
36,462,140,85,513
37,475,119,69,537
38,479,120,101,500
39,477,123,90,510
40,449,140,96,515
41,452,143,96,509
42,476,107,115,502
43,462,146,80,512
44,449,129,79,543
45,446,134,79,541
46,472,140,91,497
47,490,134,80,496
48,462,153,65,520
49,464,128,103,505
50,448,133,93,526
