Iteration 1: Accuracy=0.8185, Precision=0.8627, Recall=0.7635, F1-score=0.8101
Iteration 2: Accuracy=0.8068, Precision=0.8218, Recall=0.7713, F1-score=0.7958
Iteration 3: Accuracy=0.8160, Precision=0.8449, Recall=0.7661, F1-score=0.8036
Iteration 4: Accuracy=0.8160, Precision=0.8594, Recall=0.7728, F1-score=0.8138
Iteration 5: Accuracy=0.8085, Precision=0.8396, Recall=0.7576, F1-score=0.7965
Iteration 6: Accuracy=0.8152, Precision=0.8869, Recall=0.7351, F1-score=0.8039
Iteration 7: Accuracy=0.8185, Precision=0.8569, Recall=0.7763, F1-score=0.8146
Iteration 8: Accuracy=0.8376, Precision=0.8825, Recall=0.7818, F1-score=0.8291
Iteration 9: Accuracy=0.8226, Precision=0.8426, Recall=0.7804, F1-score=0.8103
Iteration 10: Accuracy=0.8185, Precision=0.8297, Recall=0.7869, F1-score=0.8078
Iteration 11: Accuracy=0.7952, Precision=0.8330, Recall=0.7488, F1-score=0.7887
Iteration 12: Accuracy=0.8060, Precision=0.8430, Recall=0.7618, F1-score=0.8003
Iteration 13: Accuracy=0.8243, Precision=0.8491, Recall=0.7849, F1-score=0.8157
Iteration 14: Accuracy=0.8152, Precision=0.8673, Recall=0.7545, F1-score=0.8070
Iteration 15: Accuracy=0.8201, Precision=0.8429, Recall=0.7931, F1-score=0.8173
Iteration 16: Accuracy=0.8043, Precision=0.8349, Recall=0.7517, F1-score=0.7911
Iteration 17: Accuracy=0.8293, Precision=0.8553, Recall=0.7910, F1-score=0.8219
Iteration 18: Accuracy=0.8118, Precision=0.8466, Recall=0.7551, F1-score=0.7982
Iteration 19: Accuracy=0.8193, Precision=0.8523, Recall=0.7780, F1-score=0.8134
Iteration 20: Accuracy=0.8351, Precision=0.8875, Recall=0.7783, F1-score=0.8293
Iteration 21: Accuracy=0.8201, Precision=0.8436, Recall=0.7811, F1-score=0.8112
Iteration 22: Accuracy=0.8127, Precision=0.8228, Recall=0.7818, F1-score=0.8018
Iteration 23: Accuracy=0.8335, Precision=0.8682, Recall=0.7800, F1-score=0.8217
Iteration 24: Accuracy=0.8168, Precision=0.8609, Recall=0.7583, F1-score=0.8063
Iteration 25: Accuracy=0.8235, Precision=0.9058, Recall=0.7429, F1-score=0.8163
Iteration 26: Accuracy=0.8293, Precision=0.8722, Recall=0.7759, F1-score=0.8213
Iteration 27: Accuracy=0.8185, Precision=0.8590, Recall=0.7724, F1-score=0.8134
Iteration 28: Accuracy=0.8276, Precision=0.8523, Recall=0.7910, F1-score=0.8205
Iteration 29: Accuracy=0.8310, Precision=0.8820, Recall=0.7625, F1-score=0.8179
Iteration 30: Accuracy=0.8193, Precision=0.8418, Recall=0.7808, F1-score=0.8101
Iteration 31: Accuracy=0.8052, Precision=0.8612, Recall=0.7415, F1-score=0.7969
Iteration 32: Accuracy=0.8193, Precision=0.8659, Recall=0.7623, F1-score=0.8108
Iteration 33: Accuracy=0.8060, Precision=0.8333, Recall=0.7589, F1-score=0.7944
Iteration 34: Accuracy=0.8235, Precision=0.8439, Recall=0.7801, F1-score=0.8107
Iteration 35: Accuracy=0.7968, Precision=0.8168, Recall=0.7710, F1-score=0.7932
Iteration 36: Accuracy=0.8068, Precision=0.8413, Recall=0.7575, F1-score=0.7972
Iteration 37: Accuracy=0.8193, Precision=0.8403, Recall=0.7947, F1-score=0.8169
Iteration 38: Accuracy=0.8110, Precision=0.8264, Recall=0.7644, F1-score=0.7942
Iteration 39: Accuracy=0.8226, Precision=0.8452, Recall=0.7967, F1-score=0.8203
Iteration 40: Accuracy=0.8251, Precision=0.8456, Recall=0.7916, F1-score=0.8177
Iteration 41: Accuracy=0.8177, Precision=0.8558, Recall=0.7555, F1-score=0.8025
Iteration 42: Accuracy=0.8060, Precision=0.8197, Recall=0.7643, F1-score=0.7910
Iteration 43: Accuracy=0.8376, Precision=0.8569, Recall=0.8064, F1-score=0.8309
Iteration 44: Accuracy=0.8243, Precision=0.8675, Recall=0.7831, F1-score=0.8231
Iteration 45: Accuracy=0.8060, Precision=0.8548, Recall=0.7548, F1-score=0.8017
Iteration 46: Accuracy=0.8035, Precision=0.8007, Recall=0.7868, F1-score=0.7937
Iteration 47: Accuracy=0.8435, Precision=0.8712, Recall=0.8076, F1-score=0.8382
Iteration 48: Accuracy=0.8210, Precision=0.8295, Recall=0.7969, F1-score=0.8129
Iteration 49: Accuracy=0.8276, Precision=0.8519, Recall=0.7836, F1-score=0.8163
Iteration 50: Accuracy=0.8268, Precision=0.8821, Recall=0.7689, F1-score=0.8216

Overall Metrics:
Average Accuracy: 0.8184 ± 0.0105
Average Precision: 0.8511 ± 0.0203
Average Recall: 0.7728 ± 0.0166
Average F1 Score: 0.8099 ± 0.0116
