Loopnr,TN,FP,FN,TP
1,538,51,131,480
2,535,45,144,476
3,563,33,124,480
4,544,38,138,480
5,559,44,127,470
6,566,30,122,482
7,553,25,134,488
8,583,46,120,451
9,569,18,135,478
10,577,35,120,468
11,580,33,128,459
12,584,33,136,447
13,565,28,157,450
14,585,26,127,462
15,565,26,125,484
16,548,47,114,491
17,576,29,139,456
18,557,33,114,496
19,547,33,140,480
20,583,33,117,467
21,566,26,142,466
22,564,42,132,462
23,584,32,123,461
24,585,38,113,464
25,569,38,132,461
26,584,31,125,460
27,563,26,132,479
28,558,37,112,493
29,570,38,134,458
30,571,27,120,482
31,566,26,127,481
32,561,29,130,480
33,604,31,133,432
34,535,38,152,475
35,556,29,140,475
36,562,49,124,465
37,555,53,135,457
38,587,35,135,443
39,550,43,133,474
40,562,46,148,444
41,572,42,137,449
42,556,50,121,473
43,543,43,122,492
44,583,46,120,451
45,580,48,124,448
46,575,28,115,482
47,556,33,129,482
48,562,32,129,477
49,538,30,134,498
50,586,36,109,469
