Iteration 1: Accuracy=0.8501, Precision=0.8014, Recall=0.9319, F1-score=0.8618
Iteration 2: Accuracy=0.8576, Precision=0.7992, Recall=0.9550, F1-score=0.8702
Iteration 3: Accuracy=0.8526, Precision=0.7950, Recall=0.9362, F1-score=0.8599
Iteration 4: Accuracy=0.8643, Precision=0.8103, Recall=0.9556, F1-score=0.8770
Iteration 5: Accuracy=0.8851, Precision=0.8524, Recall=0.9340, F1-score=0.8913
Iteration 6: Accuracy=0.8485, Precision=0.7917, Recall=0.9391, F1-score=0.8591
Iteration 7: Accuracy=0.8793, Precision=0.8498, Recall=0.9369, F1-score=0.8912
Iteration 8: Accuracy=0.8651, Precision=0.8236, Recall=0.9261, F1-score=0.8718
Iteration 9: Accuracy=0.8609, Precision=0.8179, Recall=0.9241, F1-score=0.8678
Iteration 10: Accuracy=0.8709, Precision=0.8309, Recall=0.9360, F1-score=0.8803
Iteration 11: Accuracy=0.8743, Precision=0.8265, Recall=0.9466, F1-score=0.8825
Iteration 12: Accuracy=0.8784, Precision=0.8469, Recall=0.9341, F1-score=0.8884
Iteration 13: Accuracy=0.8884, Precision=0.8465, Recall=0.9523, F1-score=0.8963
Iteration 14: Accuracy=0.8601, Precision=0.8083, Recall=0.9510, F1-score=0.8739
Iteration 15: Accuracy=0.8693, Precision=0.8164, Recall=0.9515, F1-score=0.8788
Iteration 16: Accuracy=0.8684, Precision=0.8248, Recall=0.9488, F1-score=0.8824
Iteration 17: Accuracy=0.8693, Precision=0.8261, Recall=0.9307, F1-score=0.8753
Iteration 18: Accuracy=0.8576, Precision=0.8117, Recall=0.9214, F1-score=0.8631
Iteration 19: Accuracy=0.8693, Precision=0.8309, Recall=0.9350, F1-score=0.8799
Iteration 20: Accuracy=0.8676, Precision=0.8134, Recall=0.9474, F1-score=0.8753
Iteration 21: Accuracy=0.8585, Precision=0.8045, Recall=0.9505, F1-score=0.8714
Iteration 22: Accuracy=0.8426, Precision=0.7883, Recall=0.9386, F1-score=0.8569
Iteration 23: Accuracy=0.8726, Precision=0.8198, Recall=0.9471, F1-score=0.8789
Iteration 24: Accuracy=0.8726, Precision=0.8253, Recall=0.9430, F1-score=0.8802
Iteration 25: Accuracy=0.8618, Precision=0.8250, Recall=0.9227, F1-score=0.8711
Iteration 26: Accuracy=0.8476, Precision=0.7937, Recall=0.9459, F1-score=0.8631
Iteration 27: Accuracy=0.8759, Precision=0.8205, Recall=0.9578, F1-score=0.8839
Iteration 28: Accuracy=0.8609, Precision=0.8277, Recall=0.9205, F1-score=0.8716
Iteration 29: Accuracy=0.8551, Precision=0.8020, Recall=0.9434, F1-score=0.8670
Iteration 30: Accuracy=0.8543, Precision=0.8063, Recall=0.9232, F1-score=0.8608
Iteration 31: Accuracy=0.8626, Precision=0.8103, Recall=0.9387, F1-score=0.8698
Iteration 32: Accuracy=0.8568, Precision=0.8229, Recall=0.9252, F1-score=0.8711
Iteration 33: Accuracy=0.8618, Precision=0.8251, Recall=0.9185, F1-score=0.8693
Iteration 34: Accuracy=0.8543, Precision=0.7950, Recall=0.9394, F1-score=0.8612
Iteration 35: Accuracy=0.8718, Precision=0.8220, Recall=0.9422, F1-score=0.8780
Iteration 36: Accuracy=0.8568, Precision=0.8022, Recall=0.9524, F1-score=0.8709
Iteration 37: Accuracy=0.8751, Precision=0.8197, Recall=0.9636, F1-score=0.8858
Iteration 38: Accuracy=0.8709, Precision=0.8309, Recall=0.9380, F1-score=0.8812
Iteration 39: Accuracy=0.8659, Precision=0.8108, Recall=0.9473, F1-score=0.8737
Iteration 40: Accuracy=0.8601, Precision=0.7922, Recall=0.9581, F1-score=0.8673
Iteration 41: Accuracy=0.8568, Precision=0.8109, Recall=0.9258, F1-score=0.8646
Iteration 42: Accuracy=0.8759, Precision=0.8245, Recall=0.9550, F1-score=0.8849
Iteration 43: Accuracy=0.8668, Precision=0.8190, Recall=0.9397, F1-score=0.8752
Iteration 44: Accuracy=0.8568, Precision=0.8043, Recall=0.9548, F1-score=0.8732
Iteration 45: Accuracy=0.8676, Precision=0.8266, Recall=0.9382, F1-score=0.8789
Iteration 46: Accuracy=0.8634, Precision=0.8109, Recall=0.9405, F1-score=0.8709
Iteration 47: Accuracy=0.8568, Precision=0.8234, Recall=0.9106, F1-score=0.8648
Iteration 48: Accuracy=0.8693, Precision=0.8276, Recall=0.9417, F1-score=0.8810
Iteration 49: Accuracy=0.8768, Precision=0.8227, Recall=0.9460, F1-score=0.8801
Iteration 50: Accuracy=0.8551, Precision=0.7980, Recall=0.9421, F1-score=0.8641

Overall Metrics:
Average Accuracy: 0.8644 ± 0.0097
Average Precision: 0.8167 ± 0.0151
Average Recall: 0.9401 ± 0.0118
Average F1 Score: 0.8739 ± 0.0091
