Loopnr,TN,FP,FN,TP
1,429,165,127,479
2,446,171,101,482
3,422,182,87,509
4,405,147,124,524
5,451,153,125,471
6,449,191,80,480
7,400,170,108,522
8,434,153,100,513
9,434,183,94,489
10,453,164,109,474
11,428,162,124,486
12,437,143,132,488
13,438,154,128,480
14,423,159,120,498
15,409,171,103,517
16,424,186,82,508
17,438,153,111,498
18,446,171,101,482
19,466,143,136,455
20,440,176,102,482
21,456,152,107,485
22,428,157,134,481
23,435,157,110,498
24,462,119,134,485
25,437,173,91,499
26,433,166,114,487
27,424,173,75,528
28,446,159,100,495
29,430,194,105,471
30,431,145,111,513
31,434,158,105,503
32,458,144,123,475
33,415,178,83,524
34,425,166,115,494
35,432,158,133,477
36,454,156,127,463
37,452,149,111,488
38,441,166,123,470
39,455,156,94,495
40,445,126,126,503
41,421,173,123,483
42,428,163,111,498
43,459,137,108,496
44,432,165,106,497
45,438,172,92,498
46,428,157,108,507
47,450,129,141,480
48,437,154,109,500
49,450,158,111,481
50,424,170,111,495
