Iteration 1: Accuracy=0.7735, Precision=0.8007, Recall=0.7318, F1-score=0.7647
Iteration 2: Accuracy=0.7577, Precision=0.7837, Recall=0.7318, F1-score=0.7569
Iteration 3: Accuracy=0.7852, Precision=0.8223, Recall=0.7361, F1-score=0.7768
Iteration 4: Accuracy=0.7860, Precision=0.7939, Recall=0.7543, F1-score=0.7736
Iteration 5: Accuracy=0.8102, Precision=0.8285, Recall=0.7753, F1-score=0.8010
Iteration 6: Accuracy=0.7769, Precision=0.7692, Recall=0.7797, F1-score=0.7744
Iteration 7: Accuracy=0.7902, Precision=0.8312, Recall=0.7356, F1-score=0.7805
Iteration 8: Accuracy=0.7552, Precision=0.7752, Recall=0.7240, F1-score=0.7487
Iteration 9: Accuracy=0.7852, Precision=0.8066, Recall=0.7411, F1-score=0.7725
Iteration 10: Accuracy=0.7569, Precision=0.7636, Recall=0.7352, F1-score=0.7491
Iteration 11: Accuracy=0.7843, Precision=0.8207, Recall=0.7390, F1-score=0.7777
Iteration 12: Accuracy=0.7744, Precision=0.8197, Recall=0.7105, F1-score=0.7612
Iteration 13: Accuracy=0.7777, Precision=0.7832, Recall=0.7351, F1-score=0.7584
Iteration 14: Accuracy=0.8052, Precision=0.8651, Recall=0.7325, F1-score=0.7933
Iteration 15: Accuracy=0.7727, Precision=0.8049, Recall=0.7143, F1-score=0.7569
Iteration 16: Accuracy=0.7818, Precision=0.7853, Recall=0.7556, F1-score=0.7702
Iteration 17: Accuracy=0.7594, Precision=0.8196, Recall=0.6797, F1-score=0.7431
Iteration 18: Accuracy=0.7719, Precision=0.8346, Recall=0.6942, F1-score=0.7580
Iteration 19: Accuracy=0.7752, Precision=0.8045, Recall=0.7205, F1-score=0.7602
Iteration 20: Accuracy=0.7669, Precision=0.8073, Recall=0.7184, F1-score=0.7603
Iteration 21: Accuracy=0.7885, Precision=0.8106, Recall=0.7570, F1-score=0.7829
Iteration 22: Accuracy=0.7868, Precision=0.8188, Recall=0.7434, F1-score=0.7793
Iteration 23: Accuracy=0.7727, Precision=0.8019, Recall=0.7136, F1-score=0.7552
Iteration 24: Accuracy=0.7602, Precision=0.7676, Recall=0.7365, F1-score=0.7517
Iteration 25: Accuracy=0.7777, Precision=0.8311, Recall=0.7039, F1-score=0.7622
Iteration 26: Accuracy=0.7669, Precision=0.7576, Recall=0.7654, F1-score=0.7615
Iteration 27: Accuracy=0.7677, Precision=0.8004, Recall=0.6914, F1-score=0.7419
Iteration 28: Accuracy=0.7702, Precision=0.8182, Recall=0.6992, F1-score=0.7540
Iteration 29: Accuracy=0.7735, Precision=0.7908, Recall=0.7433, F1-score=0.7663
Iteration 30: Accuracy=0.7669, Precision=0.7534, Recall=0.7639, F1-score=0.7586
Iteration 31: Accuracy=0.7827, Precision=0.8103, Recall=0.7480, F1-score=0.7779
Iteration 32: Accuracy=0.7519, Precision=0.8026, Recall=0.6979, F1-score=0.7466
Iteration 33: Accuracy=0.7752, Precision=0.7838, Recall=0.7521, F1-score=0.7676
Iteration 34: Accuracy=0.7910, Precision=0.8267, Recall=0.7471, F1-score=0.7849
Iteration 35: Accuracy=0.7752, Precision=0.7387, Recall=0.8345, F1-score=0.7837
Iteration 36: Accuracy=0.7485, Precision=0.7655, Recall=0.7279, F1-score=0.7462
Iteration 37: Accuracy=0.7752, Precision=0.8101, Recall=0.7214, F1-score=0.7632
Iteration 38: Accuracy=0.7635, Precision=0.7832, Recall=0.7368, F1-score=0.7593
Iteration 39: Accuracy=0.7544, Precision=0.7424, Recall=0.7539, F1-score=0.7481
Iteration 40: Accuracy=0.7660, Precision=0.8150, Recall=0.7055, F1-score=0.7563
Iteration 41: Accuracy=0.7519, Precision=0.7602, Recall=0.7401, F1-score=0.7500
Iteration 42: Accuracy=0.7652, Precision=0.7731, Recall=0.7445, F1-score=0.7586
Iteration 43: Accuracy=0.7644, Precision=0.8065, Recall=0.7013, F1-score=0.7502
Iteration 44: Accuracy=0.7802, Precision=0.8171, Recall=0.7407, F1-score=0.7770
Iteration 45: Accuracy=0.7843, Precision=0.8034, Recall=0.7682, F1-score=0.7854
Iteration 46: Accuracy=0.7744, Precision=0.8045, Recall=0.6930, F1-score=0.7446
Iteration 47: Accuracy=0.7843, Precision=0.8135, Recall=0.7392, F1-score=0.7746
Iteration 48: Accuracy=0.7727, Precision=0.8147, Recall=0.6944, F1-score=0.7498
Iteration 49: Accuracy=0.7619, Precision=0.7556, Recall=0.7556, F1-score=0.7556
Iteration 50: Accuracy=0.7885, Precision=0.8333, Recall=0.7261, F1-score=0.7760

Overall Metrics:
Average Accuracy: 0.7738 ± 0.0129
Average Precision: 0.7986 ± 0.0267
Average Recall: 0.7338 ± 0.0274
Average F1 Score: 0.7641 ± 0.0139
