Loopnr,TN,FP,FN,TP
1,564,31,133,472
2,559,31,116,494
3,556,37,102,505
4,565,22,126,487
5,567,19,132,482
6,555,29,131,485
7,607,43,117,433
8,573,34,106,487
9,563,36,135,466
10,575,45,130,450
11,578,23,120,479
12,572,29,126,473
13,577,35,108,480
14,567,28,105,500
15,587,33,122,458
16,590,18,134,458
17,586,24,125,465
18,569,22,140,469
19,567,34,120,479
20,592,35,108,465
21,596,22,122,460
22,567,30,131,472
23,573,33,113,481
24,590,34,133,443
25,568,36,111,485
26,564,22,126,488
27,577,31,125,467
28,571,30,140,459
29,571,19,131,479
30,574,32,121,473
31,562,34,120,484
32,575,21,126,478
33,537,54,134,475
34,539,42,114,505
35,549,39,128,484
36,550,33,111,506
37,572,33,106,489
38,574,19,134,473
39,567,44,104,485
40,565,22,129,484
41,585,27,122,466
42,540,34,132,494
43,589,21,129,461
44,557,19,130,494
45,592,33,127,448
46,563,31,138,468
47,567,32,128,473
48,581,23,130,466
49,559,35,117,489
50,565,48,109,478
