Iteration 1: Accuracy=0.8843, Precision=0.8309, Recall=0.9651, F1-score=0.8930
Iteration 2: Accuracy=0.8826, Precision=0.8209, Recall=0.9765, F1-score=0.8920
Iteration 3: Accuracy=0.8593, Precision=0.7910, Recall=0.9561, F1-score=0.8658
Iteration 4: Accuracy=0.8726, Precision=0.8212, Recall=0.9592, F1-score=0.8849
Iteration 5: Accuracy=0.8784, Precision=0.8338, Recall=0.9623, F1-score=0.8934
Iteration 6: Accuracy=0.8918, Precision=0.8601, Recall=0.9435, F1-score=0.8998
Iteration 7: Accuracy=0.8801, Precision=0.8192, Recall=0.9694, F1-score=0.8880
Iteration 8: Accuracy=0.8809, Precision=0.8379, Recall=0.9606, F1-score=0.8951
Iteration 9: Accuracy=0.8751, Precision=0.8175, Recall=0.9611, F1-score=0.8835
Iteration 10: Accuracy=0.8876, Precision=0.8350, Recall=0.9705, F1-score=0.8976
Iteration 11: Accuracy=0.8809, Precision=0.8269, Recall=0.9725, F1-score=0.8938
Iteration 12: Accuracy=0.8684, Precision=0.8120, Recall=0.9564, F1-score=0.8783
Iteration 13: Accuracy=0.8768, Precision=0.8143, Recall=0.9694, F1-score=0.8851
Iteration 14: Accuracy=0.8693, Precision=0.8108, Recall=0.9596, F1-score=0.8790
Iteration 15: Accuracy=0.8684, Precision=0.8191, Recall=0.9449, F1-score=0.8775
Iteration 16: Accuracy=0.8743, Precision=0.8171, Recall=0.9706, F1-score=0.8872
Iteration 17: Accuracy=0.8818, Precision=0.8195, Recall=0.9690, F1-score=0.8880
Iteration 18: Accuracy=0.8709, Precision=0.8307, Recall=0.9379, F1-score=0.8810
Iteration 19: Accuracy=0.8618, Precision=0.8131, Recall=0.9421, F1-score=0.8729
Iteration 20: Accuracy=0.8793, Precision=0.8236, Recall=0.9650, F1-score=0.8887
Iteration 21: Accuracy=0.8743, Precision=0.8099, Recall=0.9711, F1-score=0.8832
Iteration 22: Accuracy=0.8834, Precision=0.8395, Recall=0.9484, F1-score=0.8906
Iteration 23: Accuracy=0.8726, Precision=0.8145, Recall=0.9669, F1-score=0.8842
Iteration 24: Accuracy=0.8859, Precision=0.8331, Recall=0.9650, F1-score=0.8942
Iteration 25: Accuracy=0.8826, Precision=0.8309, Recall=0.9560, F1-score=0.8891
Iteration 26: Accuracy=0.8901, Precision=0.8482, Recall=0.9500, F1-score=0.8962
Iteration 27: Accuracy=0.8659, Precision=0.8231, Recall=0.9274, F1-score=0.8721
Iteration 28: Accuracy=0.8659, Precision=0.8286, Recall=0.9360, F1-score=0.8790
Iteration 29: Accuracy=0.8684, Precision=0.8119, Recall=0.9583, F1-score=0.8790
Iteration 30: Accuracy=0.8659, Precision=0.8137, Recall=0.9443, F1-score=0.8741
Iteration 31: Accuracy=0.8809, Precision=0.8520, Recall=0.9193, F1-score=0.8844
Iteration 32: Accuracy=0.8768, Precision=0.8314, Recall=0.9510, F1-score=0.8872
Iteration 33: Accuracy=0.8726, Precision=0.8200, Recall=0.9589, F1-score=0.8840
Iteration 34: Accuracy=0.8701, Precision=0.7969, Recall=0.9810, F1-score=0.8794
Iteration 35: Accuracy=0.8676, Precision=0.8123, Recall=0.9470, F1-score=0.8745
Iteration 36: Accuracy=0.8909, Precision=0.8362, Recall=0.9753, F1-score=0.9004
Iteration 37: Accuracy=0.8826, Precision=0.8275, Recall=0.9704, F1-score=0.8933
Iteration 38: Accuracy=0.8668, Precision=0.8159, Recall=0.9543, F1-score=0.8797
Iteration 39: Accuracy=0.8751, Precision=0.8085, Recall=0.9668, F1-score=0.8806
Iteration 40: Accuracy=0.8834, Precision=0.8430, Recall=0.9436, F1-score=0.8905
Iteration 41: Accuracy=0.8951, Precision=0.8532, Recall=0.9611, F1-score=0.9040
Iteration 42: Accuracy=0.8784, Precision=0.8205, Recall=0.9756, F1-score=0.8914
Iteration 43: Accuracy=0.8634, Precision=0.7883, Recall=0.9718, F1-score=0.8705
Iteration 44: Accuracy=0.8776, Precision=0.8195, Recall=0.9608, F1-score=0.8845
Iteration 45: Accuracy=0.8818, Precision=0.8321, Recall=0.9587, F1-score=0.8909
Iteration 46: Accuracy=0.8843, Precision=0.8255, Recall=0.9787, F1-score=0.8956
Iteration 47: Accuracy=0.8693, Precision=0.8093, Recall=0.9630, F1-score=0.8795
Iteration 48: Accuracy=0.8868, Precision=0.8274, Recall=0.9672, F1-score=0.8919
Iteration 49: Accuracy=0.8843, Precision=0.8190, Recall=0.9814, F1-score=0.8928
Iteration 50: Accuracy=0.8826, Precision=0.8228, Recall=0.9656, F1-score=0.8885

Overall Metrics:
Average Accuracy: 0.8770 ± 0.0083
Average Precision: 0.8234 ± 0.0142
Average Recall: 0.9597 ± 0.0134
Average F1 Score: 0.8862 ± 0.0083
