Loopnr,TN,FP,FN,TP
1,538,66,41,555
2,547,84,41,528
3,550,56,33,561
4,535,76,38,551
5,529,82,33,556
6,513,61,31,595
7,548,66,37,549
8,522,65,39,574
9,529,48,38,585
10,540,59,42,559
11,531,68,29,572
12,551,68,34,547
13,538,78,35,549
14,559,66,27,548
15,536,68,48,548
16,575,69,34,522
17,560,71,39,530
18,522,68,37,573
19,526,78,38,558
20,510,75,57,558
21,536,75,34,555
22,531,60,30,579
23,527,61,49,563
24,538,66,44,552
25,570,71,32,527
26,517,72,52,559
27,522,71,32,575
28,529,65,48,558
29,531,83,39,547
30,514,67,52,567
31,529,80,28,563
32,523,72,34,571
33,527,76,37,560
34,511,69,29,591
35,533,63,43,561
36,531,64,32,573
37,502,60,41,597
38,538,64,39,559
39,516,65,37,582
40,523,65,38,574
41,539,67,51,543
42,528,81,30,561
43,541,62,36,561
44,546,67,27,560
45,543,81,34,542
46,502,66,54,578
47,535,73,29,563
48,519,62,41,578
49,507,66,39,588
50,547,57,32,564
