Loopnr,TN,FP,FN,TP
1,556,27,66,552
2,556,51,55,539
3,552,50,63,536
4,545,36,64,556
5,593,42,61,505
6,561,38,59,543
7,537,37,68,559
8,567,34,60,540
9,545,35,53,568
10,589,41,61,510
11,549,39,57,556
12,563,38,69,531
13,564,37,67,533
14,567,39,64,531
15,535,33,71,562
16,553,46,68,534
17,596,31,68,506
18,554,28,65,554
19,543,46,84,528
20,568,38,66,529
21,560,34,58,549
22,581,43,51,526
23,579,33,65,524
24,559,29,77,536
25,558,42,62,539
26,581,29,78,513
27,568,36,80,517
28,569,42,53,537
29,581,53,55,512
30,557,51,61,532
31,560,38,75,528
32,546,50,57,548
33,543,33,56,569
34,558,37,87,519
35,562,33,68,538
36,539,34,72,556
37,558,43,65,535
38,559,36,72,534
39,570,31,66,534
40,584,30,64,523
41,590,42,69,500
42,572,47,59,523
43,564,43,61,533
44,588,33,58,522
45,549,40,73,539
46,564,41,69,527
47,566,37,76,522
48,521,57,60,563
49,568,41,63,529
50,553,51,74,523
