Iteration1 - Accuracy: 0.8868, Precision: 0.8869, Recall: 0.8746, F1-score: 0.8807
Iteration2 - Accuracy: 0.9042, Precision: 0.9322, Recall: 0.8671, F1-score: 0.8985
Iteration3 - Accuracy: 0.9059, Precision: 0.9179, Recall: 0.8954, F1-score: 0.9065
Iteration4 - Accuracy: 0.9084, Precision: 0.9384, Recall: 0.8810, F1-score: 0.9088
Iteration5 - Accuracy: 0.9192, Precision: 0.9457, Recall: 0.8862, F1-score: 0.9150
Iteration6 - Accuracy: 0.9167, Precision: 0.9431, Recall: 0.8909, F1-score: 0.9162
Iteration7 - Accuracy: 0.9076, Precision: 0.9101, Recall: 0.9056, F1-score: 0.9079
Iteration8 - Accuracy: 0.9009, Precision: 0.9083, Recall: 0.8949, F1-score: 0.9016
Iteration9 - Accuracy: 0.9176, Precision: 0.9272, Recall: 0.9037, F1-score: 0.9153
Iteration10 - Accuracy: 0.9126, Precision: 0.9307, Recall: 0.8920, F1-score: 0.9109
Iteration11 - Accuracy: 0.9192, Precision: 0.9320, Recall: 0.8983, F1-score: 0.9148
Iteration12 - Accuracy: 0.9251, Precision: 0.9416, Recall: 0.9032, F1-score: 0.9220
Iteration13 - Accuracy: 0.9109, Precision: 0.9312, Recall: 0.8898, F1-score: 0.9100
Iteration14 - Accuracy: 0.9209, Precision: 0.9556, Recall: 0.8901, F1-score: 0.9217
Iteration15 - Accuracy: 0.9126, Precision: 0.9337, Recall: 0.8887, F1-score: 0.9106
Iteration16 - Accuracy: 0.9217, Precision: 0.9373, Recall: 0.9027, F1-score: 0.9197
Iteration17 - Accuracy: 0.9242, Precision: 0.9396, Recall: 0.9027, F1-score: 0.9208
Iteration18 - Accuracy: 0.8984, Precision: 0.9209, Recall: 0.8794, F1-score: 0.8997
Iteration19 - Accuracy: 0.9084, Precision: 0.9348, Recall: 0.8746, F1-score: 0.9037
Iteration20 - Accuracy: 0.9134, Precision: 0.9274, Recall: 0.9000, F1-score: 0.9135
Iteration21 - Accuracy: 0.9067, Precision: 0.9357, Recall: 0.8733, F1-score: 0.9034
Iteration22 - Accuracy: 0.9017, Precision: 0.9185, Recall: 0.8854, F1-score: 0.9017
Iteration23 - Accuracy: 0.9159, Precision: 0.9399, Recall: 0.8881, F1-score: 0.9133
Iteration24 - Accuracy: 0.8968, Precision: 0.9208, Recall: 0.8801, F1-score: 0.9000
Iteration25 - Accuracy: 0.9034, Precision: 0.9179, Recall: 0.8801, F1-score: 0.8986
Iteration26 - Accuracy: 0.9234, Precision: 0.9558, Recall: 0.8898, F1-score: 0.9216
Iteration27 - Accuracy: 0.9142, Precision: 0.9202, Recall: 0.9064, F1-score: 0.9132
Iteration28 - Accuracy: 0.8976, Precision: 0.9106, Recall: 0.8746, F1-score: 0.8922
Iteration29 - Accuracy: 0.9084, Precision: 0.9421, Recall: 0.8698, F1-score: 0.9045
Iteration30 - Accuracy: 0.9234, Precision: 0.9457, Recall: 0.8938, F1-score: 0.9190
Iteration31 - Accuracy: 0.9109, Precision: 0.9426, Recall: 0.8843, F1-score: 0.9125
Iteration32 - Accuracy: 0.9126, Precision: 0.9455, Recall: 0.8838, F1-score: 0.9136
Iteration33 - Accuracy: 0.9092, Precision: 0.9324, Recall: 0.8807, F1-score: 0.9058
Iteration34 - Accuracy: 0.9001, Precision: 0.9251, Recall: 0.8734, F1-score: 0.8985
Iteration35 - Accuracy: 0.9092, Precision: 0.9486, Recall: 0.8752, F1-score: 0.9104
Iteration36 - Accuracy: 0.9092, Precision: 0.9332, Recall: 0.8778, F1-score: 0.9046
Iteration37 - Accuracy: 0.9092, Precision: 0.9427, Recall: 0.8817, F1-score: 0.9112
Iteration38 - Accuracy: 0.9134, Precision: 0.9305, Recall: 0.8971, F1-score: 0.9135
Iteration39 - Accuracy: 0.9167, Precision: 0.9519, Recall: 0.8797, F1-score: 0.9144
Iteration40 - Accuracy: 0.9142, Precision: 0.9396, Recall: 0.8846, F1-score: 0.9113
Iteration41 - Accuracy: 0.9017, Precision: 0.9223, Recall: 0.8758, F1-score: 0.8985
Iteration42 - Accuracy: 0.9034, Precision: 0.9324, Recall: 0.8748, F1-score: 0.9027
Iteration43 - Accuracy: 0.9134, Precision: 0.9458, Recall: 0.8811, F1-score: 0.9123
Iteration44 - Accuracy: 0.9259, Precision: 0.9465, Recall: 0.9000, F1-score: 0.9227
Iteration45 - Accuracy: 0.9067, Precision: 0.9246, Recall: 0.8952, F1-score: 0.9097
Iteration46 - Accuracy: 0.9051, Precision: 0.9394, Recall: 0.8682, F1-score: 0.9024
Iteration47 - Accuracy: 0.9192, Precision: 0.9486, Recall: 0.8872, F1-score: 0.9169
Iteration48 - Accuracy: 0.9142, Precision: 0.9319, Recall: 0.8889, F1-score: 0.9099
Iteration49 - Accuracy: 0.9109, Precision: 0.9422, Recall: 0.8744, F1-score: 0.9070
Iteration50 - Accuracy: 0.9159, Precision: 0.9354, Recall: 0.8933, F1-score: 0.9139

Overall Metrics:
Accuracy: 0.9110 ± 0.0082
Precision: 0.9333 ± 0.0132
Recall: 0.8864 ± 0.0106
F1-score: 0.9091 ± 0.0083
