Loopnr,TN,FP,FN,TP
1,570,39,32,559
2,599,31,41,529
3,552,37,35,576
4,572,27,28,573
5,564,47,21,568
6,547,36,23,594
7,583,35,40,542
8,552,27,28,593
9,550,37,29,584
10,555,34,32,579
11,582,37,42,539
12,562,46,30,562
13,553,34,41,572
14,547,49,31,573
15,577,38,49,536
16,560,36,30,574
17,550,39,26,585
18,580,39,25,556
19,579,33,33,555
20,573,30,37,560
21,533,30,26,611
22,566,40,30,564
23,566,48,26,560
24,575,34,50,541
25,542,42,34,582
26,554,42,27,577
27,549,31,29,591
28,584,43,31,542
29,573,37,30,560
30,559,46,25,570
31,565,47,28,560
32,581,29,39,551
33,572,56,15,557
34,575,43,23,559
35,556,29,29,586
36,570,43,31,556
37,579,35,54,532
38,552,37,42,569
39,568,34,26,572
40,593,23,41,543
41,579,30,31,560
42,568,34,31,567
43,585,28,20,567
44,551,40,35,574
45,604,31,41,524
46,556,33,21,590
47,553,37,27,583
48,550,42,21,587
49,562,26,28,584
50,580,37,30,553
