Loopnr,TN,FP,FN,TP
1,559,28,44,569
2,536,38,34,592
3,573,39,41,547
4,556,26,29,589
5,583,43,31,543
6,553,31,20,596
7,565,45,16,574
8,585,30,27,558
9,559,34,46,561
10,557,37,37,569
11,572,32,21,575
12,567,29,34,570
13,564,34,35,567
14,573,39,46,542
15,548,23,37,592
16,538,43,31,588
17,515,36,27,622
18,570,35,39,556
19,557,32,28,583
20,580,26,40,554
21,570,35,36,559
22,557,27,29,587
23,570,42,44,544
24,576,38,36,550
25,585,32,30,553
26,540,39,30,591
27,550,46,32,572
28,537,35,31,597
29,590,36,36,538
30,581,34,34,551
31,568,39,17,576
32,573,37,44,546
33,576,27,44,553
34,577,27,38,558
35,569,27,29,575
36,559,27,40,574
37,595,26,19,560
38,570,29,33,568
39,562,44,26,568
40,534,48,30,588
41,574,33,34,559
42,580,28,42,550
43,558,33,31,578
44,596,34,25,545
45,570,34,32,564
46,589,42,36,533
47,565,30,29,576
48,560,32,42,566
49,548,40,26,586
50,567,41,36,556
