Iteration1 - Accuracy: 0.9559, Precision: 0.9562, Recall: 0.9577, F1-score: 0.9569
Iteration2 - Accuracy: 0.9484, Precision: 0.9434, Recall: 0.9499, F1-score: 0.9466
Iteration3 - Accuracy: 0.9367, Precision: 0.9238, Recall: 0.9490, F1-score: 0.9362
Iteration4 - Accuracy: 0.9567, Precision: 0.9413, Recall: 0.9753, F1-score: 0.9580
Iteration5 - Accuracy: 0.9500, Precision: 0.9623, Recall: 0.9407, F1-score: 0.9514
Iteration6 - Accuracy: 0.9417, Precision: 0.9456, Recall: 0.9360, F1-score: 0.9408
Iteration7 - Accuracy: 0.9450, Precision: 0.9466, Recall: 0.9434, F1-score: 0.9450
Iteration8 - Accuracy: 0.9425, Precision: 0.9156, Recall: 0.9729, F1-score: 0.9434
Iteration9 - Accuracy: 0.9492, Precision: 0.9475, Recall: 0.9492, F1-score: 0.9483
Iteration10 - Accuracy: 0.9400, Precision: 0.9451, Recall: 0.9357, F1-score: 0.9404
Iteration11 - Accuracy: 0.9409, Precision: 0.9378, Recall: 0.9426, F1-score: 0.9402
Iteration12 - Accuracy: 0.9359, Precision: 0.9538, Recall: 0.9219, F1-score: 0.9376
Iteration13 - Accuracy: 0.9475, Precision: 0.9685, Recall: 0.9249, F1-score: 0.9462
Iteration14 - Accuracy: 0.9384, Precision: 0.9281, Recall: 0.9498, F1-score: 0.9388
Iteration15 - Accuracy: 0.9459, Precision: 0.9445, Recall: 0.9492, F1-score: 0.9469
Iteration16 - Accuracy: 0.9334, Precision: 0.9269, Recall: 0.9364, F1-score: 0.9316
Iteration17 - Accuracy: 0.9392, Precision: 0.9453, Recall: 0.9378, F1-score: 0.9416
Iteration18 - Accuracy: 0.9417, Precision: 0.9562, Recall: 0.9239, F1-score: 0.9398
Iteration19 - Accuracy: 0.9359, Precision: 0.9541, Recall: 0.9182, F1-score: 0.9358
Iteration20 - Accuracy: 0.9467, Precision: 0.9330, Recall: 0.9560, F1-score: 0.9443
Iteration21 - Accuracy: 0.9367, Precision: 0.9299, Recall: 0.9396, F1-score: 0.9347
Iteration22 - Accuracy: 0.9400, Precision: 0.9421, Recall: 0.9357, F1-score: 0.9389
Iteration23 - Accuracy: 0.9376, Precision: 0.9537, Recall: 0.9205, F1-score: 0.9368
Iteration24 - Accuracy: 0.9359, Precision: 0.9137, Recall: 0.9590, F1-score: 0.9358
Iteration25 - Accuracy: 0.9326, Precision: 0.9370, Recall: 0.9293, F1-score: 0.9331
Iteration26 - Accuracy: 0.9400, Precision: 0.9433, Recall: 0.9301, F1-score: 0.9366
Iteration27 - Accuracy: 0.9409, Precision: 0.9596, Recall: 0.9238, F1-score: 0.9414
Iteration28 - Accuracy: 0.9384, Precision: 0.9338, Recall: 0.9402, F1-score: 0.9370
Iteration29 - Accuracy: 0.9351, Precision: 0.9298, Recall: 0.9475, F1-score: 0.9386
Iteration30 - Accuracy: 0.9334, Precision: 0.9500, Recall: 0.9194, F1-score: 0.9344
Iteration31 - Accuracy: 0.9392, Precision: 0.9379, Recall: 0.9395, F1-score: 0.9387
Iteration32 - Accuracy: 0.9442, Precision: 0.9377, Recall: 0.9489, F1-score: 0.9433
Iteration33 - Accuracy: 0.9492, Precision: 0.9426, Recall: 0.9567, F1-score: 0.9496
Iteration34 - Accuracy: 0.9484, Precision: 0.9453, Recall: 0.9485, F1-score: 0.9469
Iteration35 - Accuracy: 0.9534, Precision: 0.9556, Recall: 0.9525, F1-score: 0.9540
Iteration36 - Accuracy: 0.9309, Precision: 0.9634, Recall: 0.8930, F1-score: 0.9269
Iteration37 - Accuracy: 0.9417, Precision: 0.9496, Recall: 0.9302, F1-score: 0.9398
Iteration38 - Accuracy: 0.9434, Precision: 0.9367, Recall: 0.9434, F1-score: 0.9400
Iteration39 - Accuracy: 0.9425, Precision: 0.9530, Recall: 0.9327, F1-score: 0.9427
Iteration40 - Accuracy: 0.9409, Precision: 0.9228, Recall: 0.9565, F1-score: 0.9394
Iteration41 - Accuracy: 0.9492, Precision: 0.9476, Recall: 0.9492, F1-score: 0.9484
Iteration42 - Accuracy: 0.9475, Precision: 0.9400, Recall: 0.9514, F1-score: 0.9456
Iteration43 - Accuracy: 0.9492, Precision: 0.9747, Recall: 0.9262, F1-score: 0.9498
Iteration44 - Accuracy: 0.9376, Precision: 0.9366, Recall: 0.9381, F1-score: 0.9373
Iteration45 - Accuracy: 0.9342, Precision: 0.9300, Recall: 0.9407, F1-score: 0.9353
Iteration46 - Accuracy: 0.9400, Precision: 0.9514, Recall: 0.9257, F1-score: 0.9384
Iteration47 - Accuracy: 0.9517, Precision: 0.9585, Recall: 0.9423, F1-score: 0.9503
Iteration48 - Accuracy: 0.9484, Precision: 0.9608, Recall: 0.9393, F1-score: 0.9499
Iteration49 - Accuracy: 0.9351, Precision: 0.9195, Recall: 0.9481, F1-score: 0.9336
Iteration50 - Accuracy: 0.9434, Precision: 0.9527, Recall: 0.9374, F1-score: 0.9450

Overall Metrics:
Accuracy: 0.9422 ± 0.0062
Precision: 0.9437 ± 0.0133
Recall: 0.9403 ± 0.0144
F1-score: 0.9418 ± 0.0065
