Loopnr,TN,FP,FN,TP
1,537,84,61,518
2,533,82,70,515
3,518,89,64,529
4,532,76,87,505
5,529,93,57,521
6,510,87,74,529
7,511,79,72,538
8,493,102,56,549
9,519,92,66,523
10,539,64,67,530
11,515,82,64,539
12,518,85,68,529
13,521,72,84,523
14,515,88,67,530
15,505,69,69,557
16,500,106,74,520
17,483,105,53,559
18,512,77,78,533
19,517,86,79,518
20,505,88,84,523
21,530,84,56,530
22,510,89,60,541
23,521,95,62,522
24,522,83,65,530
25,520,63,63,554
26,509,91,63,537
27,518,79,63,540
28,512,78,79,531
29,511,94,54,541
30,532,70,68,530
31,534,74,49,543
32,531,95,61,513
33,529,91,70,510
34,525,76,66,533
35,516,97,65,522
36,505,103,68,524
37,513,88,74,525
38,499,99,71,531
39,542,85,67,506
40,529,85,64,522
41,515,83,71,531
42,512,79,67,542
43,519,59,69,553
44,525,80,67,528
45,505,84,82,529
46,511,94,66,529
47,516,99,59,526
48,514,71,67,548
49,528,68,65,539
50,539,68,74,519
