Loopnr,TN,FP,FN,TP
1,555,72,72,502
2,546,68,77,510
3,540,68,66,527
4,547,62,68,524
5,540,67,79,515
6,514,81,70,536
7,539,52,74,536
8,520,69,86,526
9,511,63,76,551
10,536,61,71,533
11,546,66,69,520
12,525,57,82,537
13,518,69,92,522
14,547,54,98,502
15,533,55,77,536
16,530,69,90,512
17,556,59,75,511
18,568,57,66,510
19,526,61,83,531
20,537,56,79,529
21,530,54,90,527
22,516,57,92,536
23,546,65,76,514
24,542,60,69,530
25,535,69,74,523
26,510,56,81,554
27,545,53,76,527
28,525,60,81,535
29,558,64,93,486
30,562,65,85,489
31,510,62,71,558
32,505,75,73,548
33,557,56,86,502
34,523,68,90,520
35,537,60,74,530
36,531,73,69,528
37,551,60,92,498
38,558,72,74,497
39,553,65,64,519
40,557,39,81,524
41,530,68,65,538
42,553,56,84,508
43,541,62,84,514
44,527,69,86,519
45,516,76,84,525
46,504,65,85,547
47,515,67,69,550
48,531,47,84,539
49,557,60,88,496
50,542,59,70,530
