Iteration1 - Accuracy: 0.8868, Precision: 0.9033, Recall: 0.8673, F1-score: 0.8849
Iteration2 - Accuracy: 0.8843, Precision: 0.9133, Recall: 0.8592, F1-score: 0.8854
Iteration3 - Accuracy: 0.8826, Precision: 0.9030, Recall: 0.8562, F1-score: 0.8790
Iteration4 - Accuracy: 0.8826, Precision: 0.9027, Recall: 0.8520, F1-score: 0.8766
Iteration5 - Accuracy: 0.8634, Precision: 0.8787, Recall: 0.8403, F1-score: 0.8591
Iteration6 - Accuracy: 0.8934, Precision: 0.9078, Recall: 0.8779, F1-score: 0.8926
Iteration7 - Accuracy: 0.8901, Precision: 0.9190, Recall: 0.8586, F1-score: 0.8878
Iteration8 - Accuracy: 0.8759, Precision: 0.9026, Recall: 0.8516, F1-score: 0.8763
Iteration9 - Accuracy: 0.8809, Precision: 0.9133, Recall: 0.8611, F1-score: 0.8864
Iteration10 - Accuracy: 0.8843, Precision: 0.8896, Recall: 0.8763, F1-score: 0.8829
Iteration11 - Accuracy: 0.8993, Precision: 0.9251, Recall: 0.8719, F1-score: 0.8977
Iteration12 - Accuracy: 0.8918, Precision: 0.8977, Recall: 0.8889, F1-score: 0.8933
Iteration13 - Accuracy: 0.8751, Precision: 0.8809, Recall: 0.8752, F1-score: 0.8780
Iteration14 - Accuracy: 0.8776, Precision: 0.8796, Recall: 0.8752, F1-score: 0.8774
Iteration15 - Accuracy: 0.8593, Precision: 0.8826, Recall: 0.8280, F1-score: 0.8544
Iteration16 - Accuracy: 0.8843, Precision: 0.8955, Recall: 0.8766, F1-score: 0.8860
Iteration17 - Accuracy: 0.8834, Precision: 0.9048, Recall: 0.8672, F1-score: 0.8856
Iteration18 - Accuracy: 0.8726, Precision: 0.8869, Recall: 0.8459, F1-score: 0.8659
Iteration19 - Accuracy: 0.8834, Precision: 0.9110, Recall: 0.8543, F1-score: 0.8818
Iteration20 - Accuracy: 0.8759, Precision: 0.8724, Recall: 0.8739, F1-score: 0.8732
Iteration21 - Accuracy: 0.8859, Precision: 0.8997, Recall: 0.8780, F1-score: 0.8887
Iteration22 - Accuracy: 0.8918, Precision: 0.9025, Recall: 0.8818, F1-score: 0.8920
Iteration23 - Accuracy: 0.8709, Precision: 0.8811, Recall: 0.8623, F1-score: 0.8716
Iteration24 - Accuracy: 0.8826, Precision: 0.8866, Recall: 0.8763, F1-score: 0.8814
Iteration25 - Accuracy: 0.8734, Precision: 0.8704, Recall: 0.8733, F1-score: 0.8718
Iteration26 - Accuracy: 0.8801, Precision: 0.9061, Recall: 0.8527, F1-score: 0.8786
Iteration27 - Accuracy: 0.8809, Precision: 0.8801, Recall: 0.8786, F1-score: 0.8793
Iteration28 - Accuracy: 0.8709, Precision: 0.8902, Recall: 0.8508, F1-score: 0.8701
Iteration29 - Accuracy: 0.8768, Precision: 0.8855, Recall: 0.8680, F1-score: 0.8767
Iteration30 - Accuracy: 0.8876, Precision: 0.9056, Recall: 0.8648, F1-score: 0.8847
Iteration31 - Accuracy: 0.8876, Precision: 0.9072, Recall: 0.8670, F1-score: 0.8866
Iteration32 - Accuracy: 0.8651, Precision: 0.8767, Recall: 0.8473, F1-score: 0.8618
Iteration33 - Accuracy: 0.8701, Precision: 0.8977, Recall: 0.8347, F1-score: 0.8651
Iteration34 - Accuracy: 0.8759, Precision: 0.8826, Recall: 0.8566, F1-score: 0.8694
Iteration35 - Accuracy: 0.8751, Precision: 0.8948, Recall: 0.8465, F1-score: 0.8700
Iteration36 - Accuracy: 0.8868, Precision: 0.8974, Recall: 0.8799, F1-score: 0.8885
Iteration37 - Accuracy: 0.8926, Precision: 0.9069, Recall: 0.8752, F1-score: 0.8908
Iteration38 - Accuracy: 0.8818, Precision: 0.9009, Recall: 0.8625, F1-score: 0.8813
Iteration39 - Accuracy: 0.8668, Precision: 0.8778, Recall: 0.8545, F1-score: 0.8660
Iteration40 - Accuracy: 0.8876, Precision: 0.8957, Recall: 0.8825, F1-score: 0.8891
Iteration41 - Accuracy: 0.8793, Precision: 0.8944, Recall: 0.8635, F1-score: 0.8787
Iteration42 - Accuracy: 0.8751, Precision: 0.8776, Recall: 0.8687, F1-score: 0.8731
Iteration43 - Accuracy: 0.8759, Precision: 0.8891, Recall: 0.8612, F1-score: 0.8749
Iteration44 - Accuracy: 0.8893, Precision: 0.9041, Recall: 0.8727, F1-score: 0.8881
Iteration45 - Accuracy: 0.8809, Precision: 0.9133, Recall: 0.8537, F1-score: 0.8825
Iteration46 - Accuracy: 0.8734, Precision: 0.8798, Recall: 0.8588, F1-score: 0.8692
Iteration47 - Accuracy: 0.8643, Precision: 0.8824, Recall: 0.8430, F1-score: 0.8622
Iteration48 - Accuracy: 0.8768, Precision: 0.9109, Recall: 0.8391, F1-score: 0.8735
Iteration49 - Accuracy: 0.8701, Precision: 0.8759, Recall: 0.8549, F1-score: 0.8653
Iteration50 - Accuracy: 0.8818, Precision: 0.8953, Recall: 0.8622, F1-score: 0.8784

Overall Metrics:
Accuracy: 0.8797 ± 0.0085
Precision: 0.8948 ± 0.0133
Recall: 0.8626 ± 0.0135
F1-score: 0.8783 ± 0.0097
