Loopnr,TN,FP,FN,TP
1,557,31,44,568
2,574,27,36,563
3,548,16,45,591
4,558,33,42,567
5,562,22,50,566
6,571,22,40,567
7,543,39,32,586
8,549,26,42,583
9,584,29,38,549
10,595,21,47,537
11,557,46,32,565
12,592,21,48,539
13,569,41,33,557
14,603,29,27,541
15,570,39,40,551
16,590,44,32,534
17,577,25,38,560
18,592,36,35,537
19,584,25,37,554
20,581,27,39,553
21,577,31,30,562
22,568,22,33,577
23,573,32,39,556
24,582,28,34,556
25,557,34,34,575
26,594,32,29,545
27,579,30,32,559
28,568,28,40,564
29,544,36,37,583
30,569,29,31,571
31,581,32,25,562
32,563,35,37,565
33,560,30,34,576
34,568,25,43,564
35,555,36,38,571
36,555,24,33,588
37,547,31,32,590
38,570,22,39,569
39,572,19,48,561
40,587,23,47,543
41,574,26,54,546
42,581,28,52,539
43,567,34,40,559
44,594,33,36,537
45,544,27,38,591
46,576,40,43,541
47,569,24,42,565
48,562,33,38,567
49,568,31,34,567
50,600,33,42,525
