Loopnr,TN,FP,FN,TP
1,570,26,34,570
2,585,31,39,545
3,564,36,29,571
4,587,23,38,552
5,589,30,36,545
6,555,39,31,575
7,592,32,26,550
8,585,31,32,552
9,549,40,28,583
10,550,25,37,588
11,554,41,24,581
12,574,23,26,577
13,572,30,32,566
14,566,26,35,573
15,587,23,39,551
16,580,31,49,540
17,589,22,41,548
18,587,31,38,544
19,574,25,37,564
20,604,26,29,541
21,587,31,35,547
22,561,22,43,574
23,578,26,34,562
24,571,29,35,565
25,564,31,45,560
26,562,10,46,582
27,581,22,33,564
28,571,25,46,558
29,580,23,41,556
30,561,31,40,568
31,575,23,31,571
32,595,23,32,550
33,572,27,28,573
34,555,35,35,575
35,604,16,44,536
36,577,27,38,558
37,552,36,35,577
38,530,34,37,599
39,534,40,37,589
40,558,31,33,578
41,604,30,38,528
42,542,31,54,573
43,569,34,40,557
44,566,26,38,570
45,578,26,35,561
46,583,28,30,559
47,569,35,27,569
48,578,27,40,555
49,557,24,34,585
50,574,28,43,555
