Iteration1 - Accuracy: 0.9509, Precision: 0.9383, Recall: 0.9674, F1-score: 0.9526
Iteration2 - Accuracy: 0.9475, Precision: 0.9363, Recall: 0.9624, F1-score: 0.9492
Iteration3 - Accuracy: 0.9334, Precision: 0.9343, Recall: 0.9278, F1-score: 0.9310
Iteration4 - Accuracy: 0.9425, Precision: 0.9315, Recall: 0.9548, F1-score: 0.9430
Iteration5 - Accuracy: 0.9550, Precision: 0.9454, Recall: 0.9672, F1-score: 0.9562
Iteration6 - Accuracy: 0.9459, Precision: 0.9505, Recall: 0.9357, F1-score: 0.9430
Iteration7 - Accuracy: 0.9425, Precision: 0.9456, Recall: 0.9341, F1-score: 0.9398
Iteration8 - Accuracy: 0.9484, Precision: 0.9547, Recall: 0.9421, F1-score: 0.9483
Iteration9 - Accuracy: 0.9376, Precision: 0.9263, Recall: 0.9522, F1-score: 0.9391
Iteration10 - Accuracy: 0.9400, Precision: 0.9299, Recall: 0.9516, F1-score: 0.9406
Iteration11 - Accuracy: 0.9517, Precision: 0.9405, Recall: 0.9678, F1-score: 0.9540
Iteration12 - Accuracy: 0.9434, Precision: 0.9407, Recall: 0.9439, F1-score: 0.9423
Iteration13 - Accuracy: 0.9409, Precision: 0.9337, Recall: 0.9449, F1-score: 0.9393
Iteration14 - Accuracy: 0.9442, Precision: 0.9317, Recall: 0.9556, F1-score: 0.9435
Iteration15 - Accuracy: 0.9575, Precision: 0.9483, Recall: 0.9660, F1-score: 0.9571
Iteration16 - Accuracy: 0.9509, Precision: 0.9401, Recall: 0.9609, F1-score: 0.9504
Iteration17 - Accuracy: 0.9400, Precision: 0.9359, Recall: 0.9452, F1-score: 0.9405
Iteration18 - Accuracy: 0.9425, Precision: 0.9268, Recall: 0.9596, F1-score: 0.9429
Iteration19 - Accuracy: 0.9400, Precision: 0.9264, Recall: 0.9545, F1-score: 0.9402
Iteration20 - Accuracy: 0.9492, Precision: 0.9524, Recall: 0.9477, F1-score: 0.9500
Iteration21 - Accuracy: 0.9542, Precision: 0.9506, Recall: 0.9614, F1-score: 0.9560
Iteration22 - Accuracy: 0.9425, Precision: 0.9379, Recall: 0.9459, F1-score: 0.9419
Iteration23 - Accuracy: 0.9409, Precision: 0.9401, Recall: 0.9385, F1-score: 0.9393
Iteration24 - Accuracy: 0.9384, Precision: 0.9236, Recall: 0.9571, F1-score: 0.9400
Iteration25 - Accuracy: 0.9417, Precision: 0.9190, Recall: 0.9586, F1-score: 0.9384
Iteration26 - Accuracy: 0.9559, Precision: 0.9468, Recall: 0.9644, F1-score: 0.9555
Iteration27 - Accuracy: 0.9484, Precision: 0.9358, Recall: 0.9636, F1-score: 0.9495
Iteration28 - Accuracy: 0.9459, Precision: 0.9355, Recall: 0.9587, F1-score: 0.9469
Iteration29 - Accuracy: 0.9492, Precision: 0.9433, Recall: 0.9545, F1-score: 0.9489
Iteration30 - Accuracy: 0.9467, Precision: 0.9391, Recall: 0.9548, F1-score: 0.9469
Iteration31 - Accuracy: 0.9450, Precision: 0.9429, Recall: 0.9491, F1-score: 0.9460
Iteration32 - Accuracy: 0.9534, Precision: 0.9413, Recall: 0.9690, F1-score: 0.9549
Iteration33 - Accuracy: 0.9492, Precision: 0.9216, Recall: 0.9775, F1-score: 0.9487
Iteration34 - Accuracy: 0.9434, Precision: 0.9335, Recall: 0.9552, F1-score: 0.9443
Iteration35 - Accuracy: 0.9484, Precision: 0.9428, Recall: 0.9494, F1-score: 0.9461
Iteration36 - Accuracy: 0.9467, Precision: 0.9415, Recall: 0.9480, F1-score: 0.9447
Iteration37 - Accuracy: 0.9625, Precision: 0.9522, Recall: 0.9731, F1-score: 0.9625
Iteration38 - Accuracy: 0.9467, Precision: 0.9315, Recall: 0.9577, F1-score: 0.9444
Iteration39 - Accuracy: 0.9434, Precision: 0.9416, Recall: 0.9447, F1-score: 0.9431
Iteration40 - Accuracy: 0.9351, Precision: 0.9207, Recall: 0.9463, F1-score: 0.9333
Iteration41 - Accuracy: 0.9409, Precision: 0.9511, Recall: 0.9307, F1-score: 0.9408
Iteration42 - Accuracy: 0.9475, Precision: 0.9287, Recall: 0.9655, F1-score: 0.9467
Iteration43 - Accuracy: 0.9392, Precision: 0.9295, Recall: 0.9524, F1-score: 0.9408
Iteration44 - Accuracy: 0.9384, Precision: 0.9385, Recall: 0.9444, F1-score: 0.9415
Iteration45 - Accuracy: 0.9409, Precision: 0.9340, Recall: 0.9422, F1-score: 0.9381
Iteration46 - Accuracy: 0.9484, Precision: 0.9591, Recall: 0.9368, F1-score: 0.9478
Iteration47 - Accuracy: 0.9442, Precision: 0.9274, Recall: 0.9631, F1-score: 0.9449
Iteration48 - Accuracy: 0.9525, Precision: 0.9472, Recall: 0.9610, F1-score: 0.9541
Iteration49 - Accuracy: 0.9467, Precision: 0.9461, Recall: 0.9522, F1-score: 0.9491
Iteration50 - Accuracy: 0.9475, Precision: 0.9481, Recall: 0.9496, F1-score: 0.9488

Overall Metrics:
Accuracy: 0.9458 ± 0.0058
Precision: 0.9384 ± 0.0094
Recall: 0.9533 ± 0.0110
F1-score: 0.9457 ± 0.0063
